CODG_VAR,DESC_VAR
9617,Proporção da população abaixo da linha de pobreza internacional
9948,Proporção da população abaixo da linha de pobreza nacional
"9619,""Número de mortes, pessoas desaparecidas e pessoas diretamente afetadas atribuído a desastres por 100 mil habitantes"""
9600,Proporção de governos locais que adotam e implementam estratégias locais de redução de risco de desastres em linha com as estratégias nacionais de redução de risco de desastres
800,Domicílios particulares
9591,Domicílios particulares urbanos
9592,Domicílios particulares rurais
2133,Moradores em domicílios particulares
9593,Moradores em domicílios particulares urbanos
9594,Moradores em domicílios particulares rurais
9996,Número total de acessos únicos de recursos genéticos de plantas protegidos em instalações de conservação de médio a longo prazo
9965,Índice de orientação agrícola para a despesa totais
9963,Índice de Orientação Agrícola (PIB)
9964,Índice de orientação agrícola calculado
10104,Ajuda Oficial ao Desenvolvimento (AOD)
10105,Outros Fluxos Oficiais (OFO)
10106,Total de fluxos oficiais para o setor agrícola
10066,Subsídios às exportações agrícolas - desembolsos orçamentários
10325,Subsídios às exportações agrícolas - quantidade subsidiada
9730,Razão de morte materna
9435,Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna
9436,Número de nascidos vivos de mães residentes
11598,Proporção de nascimentos assistidos por profissional de saúde qualificado
9431,Número de nascimentos assistidos por pessoal de saúde qualificado (TPNASCASSI)
9432,Número total de nascidos vivos de mulheres de 15 a 49 anos
9731,Taxa de mortalidade em menores de 5 anos
9461,Número de óbitos de residentes com menos de cinco anos de idade
9732,Taxa de mortalidade neonatal
9462,Número de óbitos de residentes até 27 dias de vida completos
9733,Incidência de tuberculose por 100 mil habitantes
12737,Número de casos novos de tuberculose
93,População residente
12763,Taxa de incidência da malária por 1.000 habitantes
12764,Número de casos autóctones de malária
9613,Número de casos novos de hepatite B
12381,Taxa de incidência de hepatite B por 100.000 habitantes
12772,Número de pessoas que necessitam de intervenção contra doenças tropicais negligenciadas (DTN)
"11754,""Probabilidade de morrer atribuída a doenças cardiovasculares, câncer, diabetes ou doenças respiratórias crônicas entre os 30 a 69 anos"""
"12948,""Número de óbitos atribuídos a doenças cardiovasculares, câncer, diabetes ou doenças respiratórias crônicas na população de 30 a 69 anos"""
11704,Taxa de mortalidade por suicídio (População com 5 anos ou mais)
11705,Número de óbitos por suicídio na população com 5 anos ou mais
9734,Taxa de mortalidade por lesões de trânsito
11728,Óbitos por lesões de trânsito
9433,Número de nascidos vivos de mães adolescentes
11687,Número de nascidos vivos de mães adolescentes por 1000 mulheres
"9737,""Taxa de mortalidade atribuída a fontes de água inadequadas, saneamento inadequado e falta de higiene"""
"11725,""Óbitos atribuídos a fontes de água inseguras, saneamento inseguro e falta de higiene"""
11726,Taxa de mortalidade atribuída a intoxicação não intencional
11727,Óbitos por intoxicação não intencional
12382,Prevalência do consumo atual de tabaco na população de 15 anos ou mais
"12360,""Prevalência do consumo atual de tabaco na população de 15 anos ou mais, considerando um intervalo de confiança de 95% - limite inferior"""
"12361,""Prevalência do consumo atual de tabaco na população de 15 anos ou mais, considerando um intervalo de confiança de 95% - limite superior"""
4721,Taxa de conclusão de nível de ensino
9310,Proporção das pessoas de 5 anos de idade que frequentam escola
4775,Pessoas de 5 anos de idade que frequentam a escola
4796,Percentual de pessoas de 5 anos de idade que frequentam a escola
"9601,""Índice de paridade de frequência à escola das pessoas de 5 anos de idade, por sexo (mulher/homem)"""
"9603,""Índice de paridade de frequência à escola das pessoas de 5 anos de idade, por situação do domicílio (rural/urbano)"""
"12746,""Índice de paridade de frequência à escola das pessoas de 5 anos de idade, rendimento domiciliar per capita (até 20%/mais de 80%)"""
11085,Proporção de escolas dos anos iniciais do ensino fundamental
11084,Proporção de escolas dos anos finais do ensino fundamental
11086,Proporção de escolas do ensino médio
9607,Número de escolas de ensino médio
9606,Número de escolas dos anos finais do ensino fundamental
9605,Número de escolas dos anos iniciais do ensino fundamental
9610,Proporção de docentes com formação adequada
9471,Percentual de tempo gasto em trabalho doméstico não remunerado e cuidados
9724,Número de assentos na Câmara dos Deputados
9725,Número de assentos ocupados por mulheres na Câmara dos Deputados
