ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_IDADE;DESC_IDADE
Indicador  16.1.1.3;45;1.39;1;Brasil;9502;2018;4;Homens;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.69;1;Brasil;9502;2018;4;Homens;1141;5 a 9 anos
Indicador  16.1.1.3;45;5.13;1;Brasil;9502;2018;4;Homens;1142;10 a 14 anos
Indicador  16.1.1.3;45;97.19;1;Brasil;9502;2018;4;Homens;1143;15 a 19 anos
Indicador  16.1.1.3;45;126.87;1;Brasil;9502;2018;4;Homens;1144;20 a 24 anos
Indicador  16.1.1.3;45;97.14;1;Brasil;9502;2018;4;Homens;1145;25 a 29 anos
Indicador  16.1.1.3;45;75.91;1;Brasil;9502;2018;4;Homens;1146;30 a 34 anos
Indicador  16.1.1.3;45;64.70;1;Brasil;9502;2018;4;Homens;1147;35 a 39 anos
Indicador  16.1.1.3;45;47.69;1;Brasil;9502;2018;4;Homens;1148;40 a 44 anos
Indicador  16.1.1.3;45;38.38;1;Brasil;9502;2018;4;Homens;1149;45 a 49 anos
Indicador  16.1.1.3;45;30.66;1;Brasil;9502;2018;4;Homens;1150;50 a 54 anos
Indicador  16.1.1.3;45;22.53;1;Brasil;9502;2018;4;Homens;1151;55 a 59 anos
Indicador  16.1.1.3;45;16.25;1;Brasil;9502;2018;4;Homens;3302;60 anos ou mais
Indicador  16.1.1.3;45;1.48;1;Brasil;9502;2018;5;Mulheres;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.31;1;Brasil;9502;2018;5;Mulheres;1141;5 a 9 anos
Indicador  16.1.1.3;45;1.62;1;Brasil;9502;2018;5;Mulheres;1142;10 a 14 anos
Indicador  16.1.1.3;45;7.02;1;Brasil;9502;2018;5;Mulheres;1143;15 a 19 anos
Indicador  16.1.1.3;45;7.37;1;Brasil;9502;2018;5;Mulheres;1144;20 a 24 anos
Indicador  16.1.1.3;45;7.06;1;Brasil;9502;2018;5;Mulheres;1145;25 a 29 anos
Indicador  16.1.1.3;45;6.46;1;Brasil;9502;2018;5;Mulheres;1146;30 a 34 anos
Indicador  16.1.1.3;45;6.03;1;Brasil;9502;2018;5;Mulheres;1147;35 a 39 anos
Indicador  16.1.1.3;45;5.43;1;Brasil;9502;2018;5;Mulheres;1148;40 a 44 anos
Indicador  16.1.1.3;45;3.81;1;Brasil;9502;2018;5;Mulheres;1149;45 a 49 anos
Indicador  16.1.1.3;45;3.21;1;Brasil;9502;2018;5;Mulheres;1150;50 a 54 anos
Indicador  16.1.1.3;45;2.25;1;Brasil;9502;2018;5;Mulheres;1151;55 a 59 anos
Indicador  16.1.1.3;45;1.98;1;Brasil;9502;2018;5;Mulheres;3302;60 anos ou mais
Indicador  16.1.1.3;45;1.28;1;Brasil;9502;2019;4;Homens;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.58;1;Brasil;9502;2019;4;Homens;1141;5 a 9 anos
Indicador  16.1.1.3;45;3.85;1;Brasil;9502;2019;4;Homens;1142;10 a 14 anos
Indicador  16.1.1.3;45;70.46;1;Brasil;9502;2019;4;Homens;1143;15 a 19 anos
Indicador  16.1.1.3;45;97.31;1;Brasil;9502;2019;4;Homens;1144;20 a 24 anos
Indicador  16.1.1.3;45;77.04;1;Brasil;9502;2019;4;Homens;1145;25 a 29 anos
Indicador  16.1.1.3;45;61.78;1;Brasil;9502;2019;4;Homens;1146;30 a 34 anos
Indicador  16.1.1.3;45;50.71;1;Brasil;9502;2019;4;Homens;1147;35 a 39 anos
Indicador  16.1.1.3;45;39.66;1;Brasil;9502;2019;4;Homens;1148;40 a 44 anos
Indicador  16.1.1.3;45;30.84;1;Brasil;9502;2019;4;Homens;1149;45 a 49 anos
Indicador  16.1.1.3;45;24.51;1;Brasil;9502;2019;4;Homens;1150;50 a 54 anos
Indicador  16.1.1.3;45;18.45;1;Brasil;9502;2019;4;Homens;1151;55 a 59 anos
Indicador  16.1.1.3;45;13.09;1;Brasil;9502;2019;4;Homens;3302;60 anos ou mais
Indicador  16.1.1.3;45;1.26;1;Brasil;9502;2019;5;Mulheres;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.37;1;Brasil;9502;2019;5;Mulheres;1141;5 a 9 anos
Indicador  16.1.1.3;45;1.24;1;Brasil;9502;2019;5;Mulheres;1142;10 a 14 anos
Indicador  16.1.1.3;45;5.16;1;Brasil;9502;2019;5;Mulheres;1143;15 a 19 anos
Indicador  16.1.1.3;45;6.11;1;Brasil;9502;2019;5;Mulheres;1144;20 a 24 anos
Indicador  16.1.1.3;45;5.76;1;Brasil;9502;2019;5;Mulheres;1145;25 a 29 anos
Indicador  16.1.1.3;45;5.04;1;Brasil;9502;2019;5;Mulheres;1146;30 a 34 anos
Indicador  16.1.1.3;45;5.17;1;Brasil;9502;2019;5;Mulheres;1147;35 a 39 anos
Indicador  16.1.1.3;45;4.21;1;Brasil;9502;2019;5;Mulheres;1148;40 a 44 anos
Indicador  16.1.1.3;45;3.56;1;Brasil;9502;2019;5;Mulheres;1149;45 a 49 anos
Indicador  16.1.1.3;45;2.91;1;Brasil;9502;2019;5;Mulheres;1150;50 a 54 anos
Indicador  16.1.1.3;45;2.42;1;Brasil;9502;2019;5;Mulheres;1151;55 a 59 anos
Indicador  16.1.1.3;45;1.71;1;Brasil;9502;2019;5;Mulheres;3302;60 anos ou mais
Indicador  16.1.1.3;45;1.34;1;Brasil;9502;2020;4;Homens;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.53;1;Brasil;9502;2020;4;Homens;1141;5 a 9 anos
Indicador  16.1.1.3;45;3.61;1;Brasil;9502;2020;4;Homens;1142;10 a 14 anos
Indicador  16.1.1.3;45;73.10;1;Brasil;9502;2020;4;Homens;1143;15 a 19 anos
Indicador  16.1.1.3;45;108.64;1;Brasil;9502;2020;4;Homens;1144;20 a 24 anos
Indicador  16.1.1.3;45;85.97;1;Brasil;9502;2020;4;Homens;1145;25 a 29 anos
Indicador  16.1.1.3;45;66.96;1;Brasil;9502;2020;4;Homens;1146;30 a 34 anos
Indicador  16.1.1.3;45;54.77;1;Brasil;9502;2020;4;Homens;1147;35 a 39 anos
Indicador  16.1.1.3;45;43.14;1;Brasil;9502;2020;4;Homens;1148;40 a 44 anos
Indicador  16.1.1.3;45;32.74;1;Brasil;9502;2020;4;Homens;1149;45 a 49 anos
Indicador  16.1.1.3;45;26.42;1;Brasil;9502;2020;4;Homens;1150;50 a 54 anos
Indicador  16.1.1.3;45;21.07;1;Brasil;9502;2020;4;Homens;1151;55 a 59 anos
Indicador  16.1.1.3;45;13.12;1;Brasil;9502;2020;4;Homens;3302;60 anos ou mais
Indicador  16.1.1.3;45;0.96;1;Brasil;9502;2020;5;Mulheres;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.36;1;Brasil;9502;2020;5;Mulheres;1141;5 a 9 anos
Indicador  16.1.1.3;45;1.05;1;Brasil;9502;2020;5;Mulheres;1142;10 a 14 anos
Indicador  16.1.1.3;45;5.61;1;Brasil;9502;2020;5;Mulheres;1143;15 a 19 anos
Indicador  16.1.1.3;45;6.53;1;Brasil;9502;2020;5;Mulheres;1144;20 a 24 anos
Indicador  16.1.1.3;45;6.59;1;Brasil;9502;2020;5;Mulheres;1145;25 a 29 anos
Indicador  16.1.1.3;45;5.22;1;Brasil;9502;2020;5;Mulheres;1146;30 a 34 anos
Indicador  16.1.1.3;45;5.17;1;Brasil;9502;2020;5;Mulheres;1147;35 a 39 anos
Indicador  16.1.1.3;45;4.32;1;Brasil;9502;2020;5;Mulheres;1148;40 a 44 anos
Indicador  16.1.1.3;45;3.05;1;Brasil;9502;2020;5;Mulheres;1149;45 a 49 anos
Indicador  16.1.1.3;45;2.74;1;Brasil;9502;2020;5;Mulheres;1150;50 a 54 anos
Indicador  16.1.1.3;45;2.29;1;Brasil;9502;2020;5;Mulheres;1151;55 a 59 anos
Indicador  16.1.1.3;45;1.72;1;Brasil;9502;2020;5;Mulheres;3302;60 anos ou mais
Indicador  16.1.1.3;45;1.08;1;Brasil;9502;2021;4;Homens;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.36;1;Brasil;9502;2021;4;Homens;1141;5 a 9 anos
