ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SIT_SEG_ALI_DOM;DESC_SIT_SEG_ALI_DOM;SUB_INDICADOR
Indicador  2.1.2;2;65.1;1;Brasil;800;2004;109098;Com segurança alimentar;800
Indicador  2.1.2;2;34.9;1;Brasil;800;2004;109099;Com insegurança alimentar;800
Indicador  2.1.2;2;18.0;1;Brasil;800;2004;109100;Com insegurança alimentar leve;800
Indicador  2.1.2;2;9.9;1;Brasil;800;2004;109101;Com insegurança alimentar moderada;800
Indicador  2.1.2;2;6.9;1;Brasil;800;2004;109102;Com insegurança alimentar grave;800
Indicador  2.1.2;2;69.8;1;Brasil;800;2009;109098;Com segurança alimentar;800
Indicador  2.1.2;2;30.2;1;Brasil;800;2009;109099;Com insegurança alimentar;800
Indicador  2.1.2;2;18.7;1;Brasil;800;2009;109100;Com insegurança alimentar leve;800
Indicador  2.1.2;2;6.5;1;Brasil;800;2009;109101;Com insegurança alimentar moderada;800
Indicador  2.1.2;2;5.0;1;Brasil;800;2009;109102;Com insegurança alimentar grave;800
Indicador  2.1.2;2;77.4;1;Brasil;800;2013;109098;Com segurança alimentar;800
Indicador  2.1.2;2;22.6;1;Brasil;800;2013;109099;Com insegurança alimentar;800
Indicador  2.1.2;2;14.8;1;Brasil;800;2013;109100;Com insegurança alimentar leve;800
Indicador  2.1.2;2;4.6;1;Brasil;800;2013;109101;Com insegurança alimentar moderada;800
Indicador  2.1.2;2;3.2;1;Brasil;800;2013;109102;Com insegurança alimentar grave;800
Indicador  2.1.2;2;63.3;1;Brasil;800;2018;109098;Com segurança alimentar;800
Indicador  2.1.2;2;36.7;1;Brasil;800;2018;109099;Com insegurança alimentar;800
Indicador  2.1.2;2;24.0;1;Brasil;800;2018;109100;Com insegurança alimentar leve;800
Indicador  2.1.2;2;8.1;1;Brasil;800;2018;109101;Com insegurança alimentar moderada;800
Indicador  2.1.2;2;4.6;1;Brasil;800;2018;109102;Com insegurança alimentar grave;800
Indicador  2.1.2;2;72.4;1;Brasil;800;2023;109098;Com segurança alimentar;800
Indicador  2.1.2;2;27.6;1;Brasil;800;2023;109099;Com insegurança alimentar;800
Indicador  2.1.2;2;18.2;1;Brasil;800;2023;109100;Com insegurança alimentar leve;800
Indicador  2.1.2;2;5.3;1;Brasil;800;2023;109101;Com insegurança alimentar moderada;800
Indicador  2.1.2;2;4.1;1;Brasil;800;2023;109102;Com insegurança alimentar grave;800
Indicador  2.1.2;2;66.7;1;Brasil;9591;2004;109098;Com segurança alimentar;9591
Indicador  2.1.2;2;33.3;1;Brasil;9591;2004;109099;Com insegurança alimentar;9591
Indicador  2.1.2;2;17.6;1;Brasil;9591;2004;109100;Com insegurança alimentar leve;9591
