ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_IDADE;DESC_IDADE;SUB_INDICADOR
Indicador  3.7.2;45;750537;1;Brasil;9433;2000;3518;10 a 19 anos;9433
Indicador  3.7.2;45;28973;1;Brasil;9433;2000;1142;10 a 14 anos;9433
Indicador  3.7.2;45;721564;1;Brasil;9433;2000;1143;15 a 19 anos;9433
Indicador  3.7.2;45;724886;1;Brasil;9433;2001;3518;10 a 19 anos;9433
Indicador  3.7.2;45;27931;1;Brasil;9433;2001;1142;10 a 14 anos;9433
Indicador  3.7.2;45;696955;1;Brasil;9433;2001;1143;15 a 19 anos;9433
Indicador  3.7.2;45;693101;1;Brasil;9433;2002;3518;10 a 19 anos;9433
Indicador  3.7.2;45;27664;1;Brasil;9433;2002;1142;10 a 14 anos;9433
Indicador  3.7.2;45;665437;1;Brasil;9433;2002;1143;15 a 19 anos;9433
Indicador  3.7.2;45;673045;1;Brasil;9433;2003;3518;10 a 19 anos;9433
Indicador  3.7.2;45;27239;1;Brasil;9433;2003;1142;10 a 14 anos;9433
Indicador  3.7.2;45;645806;1;Brasil;9433;2003;1143;15 a 19 anos;9433
Indicador  3.7.2;45;661290;1;Brasil;9433;2004;3518;10 a 19 anos;9433
Indicador  3.7.2;45;26276;1;Brasil;9433;2004;1142;10 a 14 anos;9433
Indicador  3.7.2;45;635014;1;Brasil;9433;2004;1143;15 a 19 anos;9433
Indicador  3.7.2;45;661137;1;Brasil;9433;2005;3518;10 a 19 anos;9433
Indicador  3.7.2;45;26752;1;Brasil;9433;2005;1142;10 a 14 anos;9433
Indicador  3.7.2;45;634385;1;Brasil;9433;2005;1143;15 a 19 anos;9433
Indicador  3.7.2;45;632880;1;Brasil;9433;2006;3518;10 a 19 anos;9433
Indicador  3.7.2;45;27610;1;Brasil;9433;2006;1142;10 a 14 anos;9433
Indicador  3.7.2;45;605270;1;Brasil;9433;2006;1143;15 a 19 anos;9433
Indicador  3.7.2;45;610372;1;Brasil;9433;2007;3518;10 a 19 anos;9433
Indicador  3.7.2;45;27963;1;Brasil;9433;2007;1142;10 a 14 anos;9433
Indicador  3.7.2;45;582409;1;Brasil;9433;2007;1143;15 a 19 anos;9433
Indicador  3.7.2;45;599238;1;Brasil;9433;2008;3518;10 a 19 anos;9433
Indicador  3.7.2;45;28678;1;Brasil;9433;2008;1142;10 a 14 anos;9433
Indicador  3.7.2;45;570560;1;Brasil;9433;2008;1143;15 a 19 anos;9433
Indicador  3.7.2;45;574766;1;Brasil;9433;2009;3518;10 a 19 anos;9433
Indicador  3.7.2;45;27807;1;Brasil;9433;2009;1142;10 a 14 anos;9433
Indicador  3.7.2;45;546959;1;Brasil;9433;2009;1143;15 a 19 anos;9433
Indicador  3.7.2;45;552630;1;Brasil;9433;2010;3518;10 a 19 anos;9433
Indicador  3.7.2;45;27049;1;Brasil;9433;2010;1142;10 a 14 anos;9433
Indicador  3.7.2;45;525581;1;Brasil;9433;2010;1143;15 a 19 anos;9433
Indicador  3.7.2;45;560888;1;Brasil;9433;2011;3518;10 a 19 anos;9433
Indicador  3.7.2;45;27785;1;Brasil;9433;2011;1142;10 a 14 anos;9433
Indicador  3.7.2;45;533103;1;Brasil;9433;2011;1143;15 a 19 anos;9433
Indicador  3.7.2;45;560145;1;Brasil;9433;2012;3518;10 a 19 anos;9433
Indicador  3.7.2;45;28236;1;Brasil;9433;2012;1142;10 a 14 anos;9433
Indicador  3.7.2;45;531909;1;Brasil;9433;2012;1143;15 a 19 anos;9433
Indicador  3.7.2;45;559991;1;Brasil;9433;2013;3518;10 a 19 anos;9433
Indicador  3.7.2;45;27989;1;Brasil;9433;2013;1142;10 a 14 anos;9433
Indicador  3.7.2;45;532002;1;Brasil;9433;2013;1143;15 a 19 anos;9433
Indicador  3.7.2;45;562608;1;Brasil;9433;2014;3518;10 a 19 anos;9433
Indicador  3.7.2;45;28244;1;Brasil;9433;2014;1142;10 a 14 anos;9433
Indicador  3.7.2;45;534364;1;Brasil;9433;2014;1143;15 a 19 anos;9433
Indicador  3.7.2;45;547564;1;Brasil;9433;2015;3518;10 a 19 anos;9433
Indicador  3.7.2;45;26700;1;Brasil;9433;2015;1142;10 a 14 anos;9433
Indicador  3.7.2;45;520864;1;Brasil;9433;2015;1143;15 a 19 anos;9433
Indicador  3.7.2;45;501381;1;Brasil;9433;2016;3518;10 a 19 anos;9433
Indicador  3.7.2;45;24135;1;Brasil;9433;2016;1142;10 a 14 anos;9433
Indicador  3.7.2;45;477246;1;Brasil;9433;2016;1143;15 a 19 anos;9433
Indicador  3.7.2;45;480923;1;Brasil;9433;2017;3518;10 a 19 anos;9433
Indicador  3.7.2;45;22146;1;Brasil;9433;2017;1142;10 a 14 anos;9433
Indicador  3.7.2;45;458777;1;Brasil;9433;2017;1143;15 a 19 anos;9433
Indicador  3.7.2;45;456128;1;Brasil;9433;2018;3518;10 a 19 anos;9433
Indicador  3.7.2;45;21172;1;Brasil;9433;2018;1142;10 a 14 anos;9433
Indicador  3.7.2;45;434956;1;Brasil;9433;2018;1143;15 a 19 anos;9433
Indicador  3.7.2;45;419252;1;Brasil;9433;2019;3518;10 a 19 anos;9433
Indicador  3.7.2;45;19330;1;Brasil;9433;2019;1142;10 a 14 anos;9433
Indicador  3.7.2;45;399922;1;Brasil;9433;2019;1143;15 a 19 anos;9433
Indicador  3.7.2;45;381653;1;Brasil;9433;2020;3518;10 a 19 anos;9433
Indicador  3.7.2;45;17579;1;Brasil;9433;2020;1142;10 a 14 anos;9433
Indicador  3.7.2;45;364074;1;Brasil;9433;2020;1143;15 a 19 anos;9433
Indicador  3.7.2;45;364734;1;Brasil;9433;2021;3518;10 a 19 anos;9433
Indicador  3.7.2;45;17456;1;Brasil;9433;2021;1142;10 a 14 anos;9433
Indicador  3.7.2;45;347278;1;Brasil;9433;2021;1143;15 a 19 anos;9433
Indicador  3.7.2;45;315606;1;Brasil;9433;2022;3518;10 a 19 anos;9433
Indicador  3.7.2;45;14293;1;Brasil;9433;2022;1142;10 a 14 anos;9433
Indicador  3.7.2;45;301313;1;Brasil;9433;2022;1143;15 a 19 anos;9433
Indicador  3.7.2;45;9551;11;Rondônia;9433;2000;3518;10 a 19 anos;9433
Indicador  3.7.2;45;374;11;Rondônia;9433;2000;1142;10 a 14 anos;9433
Indicador  3.7.2;45;9177;11;Rondônia;9433;2000;1143;15 a 19 anos;9433
Indicador  3.7.2;45;8269;11;Rondônia;9433;2001;3518;10 a 19 anos;9433
Indicador  3.7.2;45;330;11;Rondônia;9433;2001;1142;10 a 14 anos;9433
Indicador  3.7.2;45;7939;11;Rondônia;9433;2001;1143;15 a 19 anos;9433
Indicador  3.7.2;45;8151;11;Rondônia;9433;2002;3518;10 a 19 anos;9433
Indicador  3.7.2;45;345;11;Rondônia;9433;2002;1142;10 a 14 anos;9433
Indicador  3.7.2;45;7806;11;Rondônia;9433;2002;1143;15 a 19 anos;9433
Indicador  3.7.2;45;7848;11;Rondônia;9433;2003;3518;10 a 19 anos;9433
Indicador  3.7.2;45;327;11;Rondônia;9433;2003;1142;10 a 14 anos;9433
Indicador  3.7.2;45;7521;11;Rondônia;9433;2003;1143;15 a 19 anos;9433
Indicador  3.7.2;45;7858;11;Rondônia;9433;2004;3518;10 a 19 anos;9433
Indicador  3.7.2;45;338;11;Rondônia;9433;2004;1142;10 a 14 anos;9433
Indicador  3.7.2;45;7520;11;Rondônia;9433;2004;1143;15 a 19 anos;9433
Indicador  3.7.2;45;7480;11;Rondônia;9433;2005;3518;10 a 19 anos;9433
Indicador  3.7.2;45;336;11;Rondônia;9433;2005;1142;10 a 14 anos;9433
Indicador  3.7.2;45;7144;11;Rondônia;9433;2005;1143;15 a 19 anos;9433
Indicador  3.7.2;45;6487;11;Rondônia;9433;2006;3518;10 a 19 anos;9433
Indicador  3.7.2;45;287;11;Rondônia;9433;2006;1142;10 a 14 anos;9433
Indicador  3.7.2;45;6200;11;Rondônia;9433;2006;1143;15 a 19 anos;9433
Indicador  3.7.2;45;5802;11;Rondônia;9433;2007;3518;10 a 19 anos;9433
Indicador  3.7.2;45;276;11;Rondônia;9433;2007;1142;10 a 14 anos;9433
Indicador  3.7.2;45;5526;11;Rondônia;9433;2007;1143;15 a 19 anos;9433
Indicador  3.7.2;45;6566;11;Rondônia;9433;2008;3518;10 a 19 anos;9433
Indicador  3.7.2;45;326;11;Rondônia;9433;2008;1142;10 a 14 anos;9433
Indicador  3.7.2;45;6240;11;Rondônia;9433;2008;1143;15 a 19 anos;9433
Indicador  3.7.2;45;6301;11;Rondônia;9433;2009;3518;10 a 19 anos;9433
Indicador  3.7.2;45;275;11;Rondônia;9433;2009;1142;10 a 14 anos;9433
Indicador  3.7.2;45;6026;11;Rondônia;9433;2009;1143;15 a 19 anos;9433
Indicador  3.7.2;45;5993;11;Rondônia;9433;2010;3518;10 a 19 anos;9433
Indicador  3.7.2;45;266;11;Rondônia;9433;2010;1142;10 a 14 anos;9433
Indicador  3.7.2;45;5727;11;Rondônia;9433;2010;1143;15 a 19 anos;9433
Indicador  3.7.2;45;6345;11;Rondônia;9433;2011;3518;10 a 19 anos;9433
Indicador  3.7.2;45;293;11;Rondônia;9433;2011;1142;10 a 14 anos;9433
Indicador  3.7.2;45;6052;11;Rondônia;9433;2011;1143;15 a 19 anos;9433
Indicador  3.7.2;45;5936;11;Rondônia;9433;2012;3518;10 a 19 anos;9433
Indicador  3.7.2;45;273;11;Rondônia;9433;2012;1142;10 a 14 anos;9433
Indicador  3.7.2;45;5663;11;Rondônia;9433;2012;1143;15 a 19 anos;9433
Indicador  3.7.2;45;5914;11;Rondônia;9433;2013;3518;10 a 19 anos;9433
Indicador  3.7.2;45;240;11;Rondônia;9433;2013;1142;10 a 14 anos;9433
Indicador  3.7.2;45;5674;11;Rondônia;9433;2013;1143;15 a 19 anos;9433
Indicador  3.7.2;45;5824;11;Rondônia;9433;2014;3518;10 a 19 anos;9433
Indicador  3.7.2;45;289;11;Rondônia;9433;2014;1142;10 a 14 anos;9433
Indicador  3.7.2;45;5535;11;Rondônia;9433;2014;1143;15 a 19 anos;9433
Indicador  3.7.2;45;5637;11;Rondônia;9433;2015;3518;10 a 19 anos;9433
Indicador  3.7.2;45;226;11;Rondônia;9433;2015;1142;10 a 14 anos;9433
Indicador  3.7.2;45;5411;11;Rondônia;9433;2015;1143;15 a 19 anos;9433
Indicador  3.7.2;45;5335;11;Rondônia;9433;2016;3518;10 a 19 anos;9433
Indicador  3.7.2;45;249;11;Rondônia;9433;2016;1142;10 a 14 anos;9433
Indicador  3.7.2;45;5086;11;Rondônia;9433;2016;1143;15 a 19 anos;9433
Indicador  3.7.2;45;5051;11;Rondônia;9433;2017;3518;10 a 19 anos;9433
Indicador  3.7.2;45;234;11;Rondônia;9433;2017;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4817;11;Rondônia;9433;2017;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4915;11;Rondônia;9433;2018;3518;10 a 19 anos;9433
Indicador  3.7.2;45;224;11;Rondônia;9433;2018;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4691;11;Rondônia;9433;2018;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4558;11;Rondônia;9433;2019;3518;10 a 19 anos;9433
Indicador  3.7.2;45;198;11;Rondônia;9433;2019;1142;10 a 14 anos;9433
Indicador  3.7.2;45;4360;11;Rondônia;9433;2019;1143;15 a 19 anos;9433
Indicador  3.7.2;45;4077;11;Rondônia;9433;2020;3518;10 a 19 anos;9433
Indicador  3.7.2;45;157;11;Rondônia;9433;2020;1142;10 a 14 anos;9433
