ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;COD_GRU_IDADE_NIV_ENS;DESC_GRU_IDADE_NIV_ENS
Indicador  4.1.2;2;94.2;1;Brasil;4721;2016;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;83.5;1;Brasil;4721;2016;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;64.0;1;Brasil;4721;2016;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;95.0;1;Brasil;4721;2017;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;84.0;1;Brasil;4721;2017;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;64.5;1;Brasil;4721;2017;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;95.6;1;Brasil;4721;2018;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;85.7;1;Brasil;4721;2018;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;66.4;1;Brasil;4721;2018;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;96.0;1;Brasil;4721;2019;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;87.0;1;Brasil;4721;2019;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;69.0;1;Brasil;4721;2019;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;97.2;1;Brasil;4721;2022;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;89.8;1;Brasil;4721;2022;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;73.0;1;Brasil;4721;2022;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;97.2;1;Brasil;4721;2023;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;91.0;1;Brasil;4721;2023;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;73.8;1;Brasil;4721;2023;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;94.0;11;Rondônia;4721;2016;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;81.0;11;Rondônia;4721;2016;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;56.6;11;Rondônia;4721;2016;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;94.1;11;Rondônia;4721;2017;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;79.0;11;Rondônia;4721;2017;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;54.9;11;Rondônia;4721;2017;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;95.3;11;Rondônia;4721;2018;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;84.1;11;Rondônia;4721;2018;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;56.7;11;Rondônia;4721;2018;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;97.7;11;Rondônia;4721;2019;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;82.8;11;Rondônia;4721;2019;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;60.4;11;Rondônia;4721;2019;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;96.3;11;Rondônia;4721;2022;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;88.5;11;Rondônia;4721;2022;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;71.5;11;Rondônia;4721;2022;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;97.7;11;Rondônia;4721;2023;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;93.9;11;Rondônia;4721;2023;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;75.7;11;Rondônia;4721;2023;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;91.1;12;Acre;4721;2016;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;83.6;12;Acre;4721;2016;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;59.0;12;Acre;4721;2016;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;92.8;12;Acre;4721;2017;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;82.3;12;Acre;4721;2017;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;62.4;12;Acre;4721;2017;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;93.6;12;Acre;4721;2018;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;82.8;12;Acre;4721;2018;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;66.8;12;Acre;4721;2018;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;94.8;12;Acre;4721;2019;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;84.9;12;Acre;4721;2019;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;64.5;12;Acre;4721;2019;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;94.9;12;Acre;4721;2022;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;85.6;12;Acre;4721;2022;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;63.2;12;Acre;4721;2022;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;94.7;12;Acre;4721;2023;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;84.3;12;Acre;4721;2023;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;63.7;12;Acre;4721;2023;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;89.8;13;Amazonas;4721;2016;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;79.8;13;Amazonas;4721;2016;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;56.9;13;Amazonas;4721;2016;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;92.7;13;Amazonas;4721;2017;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;81.6;13;Amazonas;4721;2017;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;60.3;13;Amazonas;4721;2017;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;94.3;13;Amazonas;4721;2018;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;82.6;13;Amazonas;4721;2018;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;63.0;13;Amazonas;4721;2018;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;93.6;13;Amazonas;4721;2019;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;82.3;13;Amazonas;4721;2019;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;64.1;13;Amazonas;4721;2019;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;94.6;13;Amazonas;4721;2022;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;88.0;13;Amazonas;4721;2022;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;69.4;13;Amazonas;4721;2022;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;96.1;13;Amazonas;4721;2023;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;89.1;13;Amazonas;4721;2023;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;72.1;13;Amazonas;4721;2023;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;95.8;14;Roraima;4721;2016;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;84.6;14;Roraima;4721;2016;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;60.1;14;Roraima;4721;2016;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;94.9;14;Roraima;4721;2017;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;84.0;14;Roraima;4721;2017;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;67.9;14;Roraima;4721;2017;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;96.9;14;Roraima;4721;2018;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;89.9;14;Roraima;4721;2018;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;69.4;14;Roraima;4721;2018;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;94.8;14;Roraima;4721;2019;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;88.3;14;Roraima;4721;2019;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;73.7;14;Roraima;4721;2019;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;94.6;14;Roraima;4721;2022;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
