ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SIT_DOM;DESC_SIT_DOM
Indicador  4.2.1.3;2;89.9;1;Brasil;9310;2012;6795;Total
Indicador  4.2.1.3;2;90.7;1;Brasil;9310;2012;1;Urbana
Indicador  4.2.1.3;2;86.6;1;Brasil;9310;2012;2;Rural
Indicador  4.2.1.3;2;90.5;1;Brasil;9310;2013;6795;Total
Indicador  4.2.1.3;2;91.5;1;Brasil;9310;2013;1;Urbana
Indicador  4.2.1.3;2;85.7;1;Brasil;9310;2013;2;Rural
Indicador  4.2.1.3;2;92.7;1;Brasil;9310;2014;6795;Total
Indicador  4.2.1.3;2;93.3;1;Brasil;9310;2014;1;Urbana
Indicador  4.2.1.3;2;89.9;1;Brasil;9310;2014;2;Rural
Indicador  4.2.1.3;2;93.2;1;Brasil;9310;2015;6795;Total
Indicador  4.2.1.3;2;93.8;1;Brasil;9310;2015;1;Urbana
Indicador  4.2.1.3;2;90.5;1;Brasil;9310;2015;2;Rural
Indicador  4.2.1.3;2;94.3;1;Brasil;9310;2016;6795;Total
Indicador  4.2.1.3;2;94.5;1;Brasil;9310;2016;1;Urbana
Indicador  4.2.1.3;2;93.4;1;Brasil;9310;2016;2;Rural
Indicador  4.2.1.3;2;96.2;1;Brasil;9310;2017;6795;Total
Indicador  4.2.1.3;2;96.7;1;Brasil;9310;2017;1;Urbana
Indicador  4.2.1.3;2;94.0;1;Brasil;9310;2017;2;Rural
Indicador  4.2.1.3;2;96.4;1;Brasil;9310;2018;6795;Total
Indicador  4.2.1.3;2;96.6;1;Brasil;9310;2018;1;Urbana
Indicador  4.2.1.3;2;95.4;1;Brasil;9310;2018;2;Rural
Indicador  4.2.1.3;2;97.0;1;Brasil;9310;2019;6795;Total
Indicador  4.2.1.3;2;97.2;1;Brasil;9310;2019;1;Urbana
Indicador  4.2.1.3;2;96.1;1;Brasil;9310;2019;2;Rural
Indicador  4.2.1.3;2;74.2;11;Rondônia;9310;2012;6795;Total
Indicador  4.2.1.3;2;80.2;11;Rondônia;9310;2012;1;Urbana
Indicador  4.2.1.3;2;58.6;11;Rondônia;9310;2012;2;Rural
Indicador  4.2.1.3;2;83.7;11;Rondônia;9310;2013;6795;Total
Indicador  4.2.1.3;2;89.6;11;Rondônia;9310;2013;1;Urbana
Indicador  4.2.1.3;2;62.0;11;Rondônia;9310;2013;2;Rural
Indicador  4.2.1.3;2;87.9;11;Rondônia;9310;2014;6795;Total
Indicador  4.2.1.3;2;93.7;11;Rondônia;9310;2014;1;Urbana
Indicador  4.2.1.3;2;67.2;11;Rondônia;9310;2014;2;Rural
Indicador  4.2.1.3;2;92.9;11;Rondônia;9310;2015;6795;Total
Indicador  4.2.1.3;2;95.8;11;Rondônia;9310;2015;1;Urbana
Indicador  4.2.1.3;2;83.8;11;Rondônia;9310;2015;2;Rural
Indicador  4.2.1.3;2;86.9;11;Rondônia;9310;2016;6795;Total
Indicador  4.2.1.3;2;90.0;11;Rondônia;9310;2016;1;Urbana
Indicador  4.2.1.3;2;81.0;11;Rondônia;9310;2016;2;Rural
Indicador  4.2.1.3;2;95.2;11;Rondônia;9310;2017;6795;Total
Indicador  4.2.1.3;2;97.6;11;Rondônia;9310;2017;1;Urbana
Indicador  4.2.1.3;2;88.5;11;Rondônia;9310;2017;2;Rural
Indicador  4.2.1.3;2;99.5;11;Rondônia;9310;2018;6795;Total
Indicador  4.2.1.3;2;100.0;11;Rondônia;9310;2018;1;Urbana
Indicador  4.2.1.3;2;98.1;11;Rondônia;9310;2018;2;Rural
Indicador  4.2.1.3;2;95.9;11;Rondônia;9310;2019;6795;Total
Indicador  4.2.1.3;2;97.2;11;Rondônia;9310;2019;1;Urbana
Indicador  4.2.1.3;2;83.8;11;Rondônia;9310;2019;2;Rural
Indicador  4.2.1.3;2;82.9;12;Acre;9310;2012;6795;Total
Indicador  4.2.1.3;2;91.2;12;Acre;9310;2012;1;Urbana
Indicador  4.2.1.3;2;56.9;12;Acre;9310;2012;2;Rural
Indicador  4.2.1.3;2;80.3;12;Acre;9310;2013;6795;Total
Indicador  4.2.1.3;2;89.7;12;Acre;9310;2013;1;Urbana
Indicador  4.2.1.3;2;55.4;12;Acre;9310;2013;2;Rural
Indicador  4.2.1.3;2;88.4;12;Acre;9310;2014;6795;Total
Indicador  4.2.1.3;2;96.6;12;Acre;9310;2014;1;Urbana
Indicador  4.2.1.3;2;69.7;12;Acre;9310;2014;2;Rural
Indicador  4.2.1.3;2;83.8;12;Acre;9310;2015;6795;Total
Indicador  4.2.1.3;2;97.9;12;Acre;9310;2015;1;Urbana
Indicador  4.2.1.3;2;56.6;12;Acre;9310;2015;2;Rural
Indicador  4.2.1.3;2;80.5;12;Acre;9310;2016;6795;Total
Indicador  4.2.1.3;2;96.1;12;Acre;9310;2016;1;Urbana
Indicador  4.2.1.3;2;54.3;12;Acre;9310;2016;2;Rural
Indicador  4.2.1.3;2;85.6;12;Acre;9310;2017;6795;Total
Indicador  4.2.1.3;2;96.3;12;Acre;9310;2017;1;Urbana
Indicador  4.2.1.3;2;62.4;12;Acre;9310;2017;2;Rural
Indicador  4.2.1.3;2;80.5;12;Acre;9310;2018;6795;Total
Indicador  4.2.1.3;2;98.0;12;Acre;9310;2018;1;Urbana
Indicador  4.2.1.3;2;51.6;12;Acre;9310;2018;2;Rural
Indicador  4.2.1.3;2;82.1;12;Acre;9310;2019;6795;Total
Indicador  4.2.1.3;2;95.3;12;Acre;9310;2019;1;Urbana
Indicador  4.2.1.3;2;52.7;12;Acre;9310;2019;2;Rural
Indicador  4.2.1.3;2;80.9;13;Amazonas;9310;2012;6795;Total
Indicador  4.2.1.3;2;85.3;13;Amazonas;9310;2012;1;Urbana
Indicador  4.2.1.3;2;65.4;13;Amazonas;9310;2012;2;Rural
Indicador  4.2.1.3;2;79.3;13;Amazonas;9310;2013;6795;Total
Indicador  4.2.1.3;2;82.1;13;Amazonas;9310;2013;1;Urbana
Indicador  4.2.1.3;2;71.5;13;Amazonas;9310;2013;2;Rural
Indicador  4.2.1.3;2;84.4;13;Amazonas;9310;2014;6795;Total
Indicador  4.2.1.3;2;86.7;13;Amazonas;9310;2014;1;Urbana
Indicador  4.2.1.3;2;74.3;13;Amazonas;9310;2014;2;Rural
Indicador  4.2.1.3;2;87.4;13;Amazonas;9310;2015;6795;Total
Indicador  4.2.1.3;2;90.8;13;Amazonas;9310;2015;1;Urbana
Indicador  4.2.1.3;2;76.1;13;Amazonas;9310;2015;2;Rural
Indicador  4.2.1.3;2;87.9;13;Amazonas;9310;2016;6795;Total
Indicador  4.2.1.3;2;88.8;13;Amazonas;9310;2016;1;Urbana
Indicador  4.2.1.3;2;85.3;13;Amazonas;9310;2016;2;Rural
Indicador  4.2.1.3;2;88.5;13;Amazonas;9310;2017;6795;Total
Indicador  4.2.1.3;2;89.7;13;Amazonas;9310;2017;1;Urbana
Indicador  4.2.1.3;2;84.2;13;Amazonas;9310;2017;2;Rural
Indicador  4.2.1.3;2;94.1;13;Amazonas;9310;2018;6795;Total
Indicador  4.2.1.3;2;95.6;13;Amazonas;9310;2018;1;Urbana
Indicador  4.2.1.3;2;88.0;13;Amazonas;9310;2018;2;Rural
Indicador  4.2.1.3;2;94.7;13;Amazonas;9310;2019;6795;Total
