ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_CLAS_PERC_REND_DOM_PER_CAP;DESC_CLAS_PERC_REND_DOM_PER_CAP
Indicador  4.2.1.4;2;91.9;1;Brasil;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;97.6;1;Brasil;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;94.3;1;Brasil;9310;2016;49243;Total
Indicador  4.2.1.4;2;94.4;1;Brasil;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;98.0;1;Brasil;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;96.2;1;Brasil;9310;2017;49243;Total
Indicador  4.2.1.4;2;94.4;1;Brasil;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;99.1;1;Brasil;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;96.4;1;Brasil;9310;2018;49243;Total
Indicador  4.2.1.4;2;95.9;1;Brasil;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;99.3;1;Brasil;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;97.0;1;Brasil;9310;2019;49243;Total
Indicador  4.2.1.4;2;90.6;11;Rondônia;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;91.7;11;Rondônia;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;86.9;11;Rondônia;9310;2016;49243;Total
Indicador  4.2.1.4;2;99.1;11;Rondônia;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;100.0;11;Rondônia;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;95.2;11;Rondônia;9310;2017;49243;Total
Indicador  4.2.1.4;2;98.6;11;Rondônia;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;11;Rondônia;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;99.5;11;Rondônia;9310;2018;49243;Total
Indicador  4.2.1.4;2;96.3;11;Rondônia;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;11;Rondônia;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;95.9;11;Rondônia;9310;2019;49243;Total
Indicador  4.2.1.4;2;54.3;12;Acre;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;100.0;12;Acre;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;80.5;12;Acre;9310;2016;49243;Total
Indicador  4.2.1.4;2;78.5;12;Acre;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;96.8;12;Acre;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;85.6;12;Acre;9310;2017;49243;Total
Indicador  4.2.1.4;2;66.9;12;Acre;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;12;Acre;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;80.5;12;Acre;9310;2018;49243;Total
Indicador  4.2.1.4;2;69.9;12;Acre;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;12;Acre;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;82.1;12;Acre;9310;2019;49243;Total
Indicador  4.2.1.4;2;78.9;13;Amazonas;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;90.4;13;Amazonas;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;87.9;13;Amazonas;9310;2016;49243;Total
Indicador  4.2.1.4;2;81.7;13;Amazonas;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;96.9;13;Amazonas;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;88.5;13;Amazonas;9310;2017;49243;Total
Indicador  4.2.1.4;2;91.8;13;Amazonas;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;13;Amazonas;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;94.1;13;Amazonas;9310;2018;49243;Total
Indicador  4.2.1.4;2;92.2;13;Amazonas;9310;2019;58676;Até o P20
