ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;SUB_INDICADOR
Indicador  5.5.1.1;45;57869;1;Brasil;9727;2016;9727
Indicador  5.5.1.1;45;58090;1;Brasil;9727;2020;9727
Indicador  5.5.1.1;45;529;11;Rondônia;9727;2016;9727
Indicador  5.5.1.1;45;533;11;Rondônia;9727;2020;9727
Indicador  5.5.1.1;45;229;12;Acre;9727;2016;9727
Indicador  5.5.1.1;45;231;12;Acre;9727;2020;9727
Indicador  5.5.1.1;45;722;13;Amazonas;9727;2016;9727
Indicador  5.5.1.1;45;723;13;Amazonas;9727;2020;9727
Indicador  5.5.1.1;45;153;14;Roraima;9727;2016;9727
Indicador  5.5.1.1;45;157;14;Roraima;9727;2020;9727
Indicador  5.5.1.1;45;1734;15;Pará;9727;2016;9727
Indicador  5.5.1.1;45;1764;15;Pará;9727;2020;9727
Indicador  5.5.1.1;45;170;16;Amapá;9727;2016;9727
Indicador  5.5.1.1;45;174;16;Amapá;9727;2020;9727
Indicador  5.5.1.1;45;1299;17;Tocantins;9727;2016;9727
Indicador  5.5.1.1;45;1307;17;Tocantins;9727;2020;9727
Indicador  5.5.1.1;45;2394;21;Maranhão;9727;2016;9727
Indicador  5.5.1.1;45;2425;21;Maranhão;9727;2020;9727
Indicador  5.5.1.1;45;2143;22;Piauí;9727;2016;9727
Indicador  5.5.1.1;45;2144;22;Piauí;9727;2020;9727
Indicador  5.5.1.1;45;2176;23;Ceará;9727;2016;9727
Indicador  5.5.1.1;45;2192;23;Ceará;9727;2020;9727
Indicador  5.5.1.1;45;1640;24;Rio Grande do Norte;9727;2016;9727
Indicador  5.5.1.1;45;1654;24;Rio Grande do Norte;9727;2020;9727
Indicador  5.5.1.1;45;2203;25;Paraíba;9727;2016;9727
Indicador  5.5.1.1;45;2207;25;Paraíba;9727;2020;9727
Indicador  5.5.1.1;45;2126;26;Pernambuco;9727;2016;9727
Indicador  5.5.1.1;45;2151;26;Pernambuco;9727;2020;9727
Indicador  5.5.1.1;45;1076;27;Alagoas;9727;2016;9727
Indicador  5.5.1.1;45;1086;27;Alagoas;9727;2020;9727
Indicador  5.5.1.1;45;797;28;Sergipe;9727;2016;9727
Indicador  5.5.1.1;45;805;28;Sergipe;9727;2020;9727
Indicador  5.5.1.1;45;4599;29;Bahia;9727;2016;9727
Indicador  5.5.1.1;45;4630;29;Bahia;9727;2020;9727
Indicador  5.5.1.1;45;8481;31;Minas Gerais;9727;2016;9727
Indicador  5.5.1.1;45;8480;31;Minas Gerais;9727;2020;9727
Indicador  5.5.1.1;45;856;32;Espírito Santo;9727;2016;9727
Indicador  5.5.1.1;45;860;32;Espírito Santo;9727;2020;9727
Indicador  5.5.1.1;45;1190;33;Rio de Janeiro;9727;2016;9727
Indicador  5.5.1.1;45;1184;33;Rio de Janeiro;9727;2020;9727
Indicador  5.5.1.1;45;6912;35;São Paulo;9727;2016;9727
Indicador  5.5.1.1;45;6963;35;São Paulo;9727;2020;9727
Indicador  5.5.1.1;45;3877;41;Paraná;9727;2016;9727
Indicador  5.5.1.1;45;3869;41;Paraná;9727;2020;9727
Indicador  5.5.1.1;45;2898;42;Santa Catarina;9727;2016;9727
Indicador  5.5.1.1;45;2890;42;Santa Catarina;9727;2020;9727
Indicador  5.5.1.1;45;4910;43;Rio Grande do Sul;9727;2016;9727
Indicador  5.5.1.1;45;4894;43;Rio Grande do Sul;9727;2020;9727
Indicador  5.5.1.1;45;845;50;Mato Grosso do Sul;9727;2016;9727
Indicador  5.5.1.1;45;847;50;Mato Grosso do Sul;9727;2020;9727
Indicador  5.5.1.1;45;1404;51;Mato Grosso;9727;2016;9727
Indicador  5.5.1.1;45;1404;51;Mato Grosso;9727;2020;9727
Indicador  5.5.1.1;45;2506;52;Goiás;9727;2016;9727
Indicador  5.5.1.1;45;2516;52;Goiás;9727;2020;9727
Indicador  5.5.1.1;45;7815;1;Brasil;9728;2016;9728
Indicador  5.5.1.1;45;9301;1;Brasil;9728;2020;9728
Indicador  5.5.1.1;45;56;11;Rondônia;9728;2016;9728
Indicador  5.5.1.1;45;63;11;Rondônia;9728;2020;9728
Indicador  5.5.1.1;45;31;12;Acre;9728;2016;9728
Indicador  5.5.1.1;45;48;12;Acre;9728;2020;9728
Indicador  5.5.1.1;45;95;13;Amazonas;9728;2016;9728
Indicador  5.5.1.1;45;127;13;Amazonas;9728;2020;9728
Indicador  5.5.1.1;45;20;14;Roraima;9728;2016;9728
Indicador  5.5.1.1;45;23;14;Roraima;9728;2020;9728
Indicador  5.5.1.1;45;240;15;Pará;9728;2016;9728
Indicador  5.5.1.1;45;281;15;Pará;9728;2020;9728
Indicador  5.5.1.1;45;31;16;Amapá;9728;2016;9728
Indicador  5.5.1.1;45;33;16;Amapá;9728;2020;9728
Indicador  5.5.1.1;45;203;17;Tocantins;9728;2016;9728
Indicador  5.5.1.1;45;229;17;Tocantins;9728;2020;9728
Indicador  5.5.1.1;45;415;21;Maranhão;9728;2016;9728
Indicador  5.5.1.1;45;470;21;Maranhão;9728;2020;9728
Indicador  5.5.1.1;45;363;22;Piauí;9728;2016;9728
Indicador  5.5.1.1;45;427;22;Piauí;9728;2020;9728
Indicador  5.5.1.1;45;355;23;Ceará;9728;2016;9728
Indicador  5.5.1.1;45;407;23;Ceará;9728;2020;9728
Indicador  5.5.1.1;45;348;24;Rio Grande do Norte;9728;2016;9728
Indicador  5.5.1.1;45;357;24;Rio Grande do Norte;9728;2020;9728
Indicador  5.5.1.1;45;305;25;Paraíba;9728;2016;9728
Indicador  5.5.1.1;45;353;25;Paraíba;9728;2020;9728
Indicador  5.5.1.1;45;266;26;Pernambuco;9728;2016;9728
Indicador  5.5.1.1;45;295;26;Pernambuco;9728;2020;9728
Indicador  5.5.1.1;45;159;27;Alagoas;9728;2016;9728
Indicador  5.5.1.1;45;171;27;Alagoas;9728;2020;9728
Indicador  5.5.1.1;45;129;28;Sergipe;9728;2016;9728
Indicador  5.5.1.1;45;134;28;Sergipe;9728;2020;9728
Indicador  5.5.1.1;45;556;29;Bahia;9728;2016;9728
Indicador  5.5.1.1;45;613;29;Bahia;9728;2020;9728
Indicador  5.5.1.1;45;920;31;Minas Gerais;9728;2016;9728
Indicador  5.5.1.1;45;1182;31;Minas Gerais;9728;2020;9728
Indicador  5.5.1.1;45;79;32;Espírito Santo;9728;2016;9728
Indicador  5.5.1.1;45;91;32;Espírito Santo;9728;2020;9728
Indicador  5.5.1.1;45;107;33;Rio de Janeiro;9728;2016;9728
Indicador  5.5.1.1;45;116;33;Rio de Janeiro;9728;2020;9728
Indicador  5.5.1.1;45;848;35;São Paulo;9728;2016;9728
Indicador  5.5.1.1;45;1090;35;São Paulo;9728;2020;9728
Indicador  5.5.1.1;45;477;41;Paraná;9728;2016;9728
Indicador  5.5.1.1;45;582;41;Paraná;9728;2020;9728
Indicador  5.5.1.1;45;390;42;Santa Catarina;9728;2016;9728
Indicador  5.5.1.1;45;524;42;Santa Catarina;9728;2020;9728
Indicador  5.5.1.1;45;805;43;Rio Grande do Sul;9728;2016;9728
Indicador  5.5.1.1;45;938;43;Rio Grande do Sul;9728;2020;9728
Indicador  5.5.1.1;45;111;50;Mato Grosso do Sul;9728;2016;9728
Indicador  5.5.1.1;45;163;50;Mato Grosso do Sul;9728;2020;9728
Indicador  5.5.1.1;45;189;51;Mato Grosso;9728;2016;9728
Indicador  5.5.1.1;45;228;51;Mato Grosso;9728;2020;9728
Indicador  5.5.1.1;45;317;52;Goiás;9728;2016;9728
Indicador  5.5.1.1;45;356;52;Goiás;9728;2020;9728
Indicador  5.5.1.1;2;13.5;1;Brasil;9729;2016;9729
Indicador  5.5.1.1;2;16.0;1;Brasil;9729;2020;9729
Indicador  5.5.1.1;2;10.6;11;Rondônia;9729;2016;9729
Indicador  5.5.1.1;2;11.8;11;Rondônia;9729;2020;9729
Indicador  5.5.1.1;2;13.5;12;Acre;9729;2016;9729
Indicador  5.5.1.1;2;20.8;12;Acre;9729;2020;9729
Indicador  5.5.1.1;2;13.2;13;Amazonas;9729;2016;9729
Indicador  5.5.1.1;2;17.6;13;Amazonas;9729;2020;9729
Indicador  5.5.1.1;2;13.1;14;Roraima;9729;2016;9729
Indicador  5.5.1.1;2;14.6;14;Roraima;9729;2020;9729
Indicador  5.5.1.1;2;13.8;15;Pará;9729;2016;9729
Indicador  5.5.1.1;2;15.9;15;Pará;9729;2020;9729
Indicador  5.5.1.1;2;18.2;16;Amapá;9729;2016;9729
Indicador  5.5.1.1;2;19.0;16;Amapá;9729;2020;9729
Indicador  5.5.1.1;2;15.6;17;Tocantins;9729;2016;9729
