ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SET_ATIV;DESC_SET_ATIV;SUB_INDICADOR
Indicador  6.4.1;1618;80.93;1;Brasil;10564;2010;100374;Total;10564
Indicador  6.4.1;1618;125.91;1;Brasil;10564;2010;46522;Indústria;10564
Indicador  6.4.1;1618;244.55;1;Brasil;10564;2010;13;Serviços;10564
Indicador  6.4.1;1618;1.57;1;Brasil;10564;2010;45985;Agropecuária;10564
Indicador  6.4.1;1618;83.87;1;Brasil;10564;2011;100374;Total;10564
Indicador  6.4.1;1618;126.32;1;Brasil;10564;2011;46522;Indústria;10564
Indicador  6.4.1;1618;250.57;1;Brasil;10564;2011;13;Serviços;10564
Indicador  6.4.1;1618;1.63;1;Brasil;10564;2011;45985;Agropecuária;10564
Indicador  6.4.1;1618;77.49;1;Brasil;10564;2012;100374;Total;10564
Indicador  6.4.1;1618;121.56;1;Brasil;10564;2012;46522;Indústria;10564
Indicador  6.4.1;1618;255.50;1;Brasil;10564;2012;13;Serviços;10564
Indicador  6.4.1;1618;1.40;1;Brasil;10564;2012;45985;Agropecuária;10564
Indicador  6.4.1;1618;83.53;1;Brasil;10564;2013;100374;Total;10564
Indicador  6.4.1;1618;119.54;1;Brasil;10564;2013;46522;Indústria;10564
Indicador  6.4.1;1618;253.67;1;Brasil;10564;2013;13;Serviços;10564
Indicador  6.4.1;1618;1.61;1;Brasil;10564;2013;45985;Agropecuária;10564
Indicador  6.4.1;1618;81.38;1;Brasil;10564;2014;100374;Total;10564
Indicador  6.4.1;1618;113.34;1;Brasil;10564;2014;46522;Indústria;10564
Indicador  6.4.1;1618;253.62;1;Brasil;10564;2014;13;Serviços;10564
Indicador  6.4.1;1618;1.57;1;Brasil;10564;2014;45985;Agropecuária;10564
Indicador  6.4.1;1618;75.12;1;Brasil;10564;2015;100374;Total;10564
Indicador  6.4.1;1618;109.91;1;Brasil;10564;2015;46522;Indústria;10564
Indicador  6.4.1;1618;243.63;1;Brasil;10564;2015;13;Serviços;10564
Indicador  6.4.1;1618;1.42;1;Brasil;10564;2015;45985;Agropecuária;10564
Indicador  6.4.1;1618;72.73;1;Brasil;10564;2016;100374;Total;10564
Indicador  6.4.1;1618;114.06;1;Brasil;10564;2016;46522;Indústria;10564
Indicador  6.4.1;1618;236.38;1;Brasil;10564;2016;13;Serviços;10564
Indicador  6.4.1;1618;1.39;1;Brasil;10564;2016;45985;Agropecuária;10564
Indicador  6.4.1;1618;75.98;1;Brasil;10564;2017;100374;Total;10564
Indicador  6.4.1;1618;116.95;1;Brasil;10564;2017;46522;Indústria;10564
Indicador  6.4.1;1618;235.99;1;Brasil;10564;2017;13;Serviços;10564
Indicador  6.4.1;1618;1.47;1;Brasil;10564;2017;45985;Agropecuária;10564
Indicador  6.4.1;1618;78.02;1;Brasil;10564;2018;100374;Total;10564
Indicador  6.4.1;1618;115.68;1;Brasil;10564;2018;46522;Indústria;10564
Indicador  6.4.1;1618;256.47;1;Brasil;10564;2018;13;Serviços;10564
Indicador  6.4.1;1618;1.50;1;Brasil;10564;2018;45985;Agropecuária;10564
Indicador  6.4.1;1618;47.36;11;Rondônia;10564;2010;100374;Total;10564
Indicador  6.4.1;1618;304.66;11;Rondônia;10564;2010;46522;Indústria;10564
Indicador  6.4.1;1618;141.15;11;Rondônia;10564;2010;13;Serviços;10564
Indicador  6.4.1;1618;6.42;11;Rondônia;10564;2010;45985;Agropecuária;10564
Indicador  6.4.1;1618;46.92;11;Rondônia;10564;2011;100374;Total;10564
Indicador  6.4.1;1618;321.70;11;Rondônia;10564;2011;46522;Indústria;10564
Indicador  6.4.1;1618;145.14;11;Rondônia;10564;2011;13;Serviços;10564
Indicador  6.4.1;1618;5.79;11;Rondônia;10564;2011;45985;Agropecuária;10564
Indicador  6.4.1;1618;49.18;11;Rondônia;10564;2012;100374;Total;10564
Indicador  6.4.1;1618;315.30;11;Rondônia;10564;2012;46522;Indústria;10564
Indicador  6.4.1;1618;147.47;11;Rondônia;10564;2012;13;Serviços;10564
Indicador  6.4.1;1618;6.02;11;Rondônia;10564;2012;45985;Agropecuária;10564
Indicador  6.4.1;1618;49.52;11;Rondônia;10564;2013;100374;Total;10564
Indicador  6.4.1;1618;301.60;11;Rondônia;10564;2013;46522;Indústria;10564
Indicador  6.4.1;1618;138.75;11;Rondônia;10564;2013;13;Serviços;10564
Indicador  6.4.1;1618;6.76;11;Rondônia;10564;2013;45985;Agropecuária;10564
Indicador  6.4.1;1618;49.20;11;Rondônia;10564;2014;100374;Total;10564
Indicador  6.4.1;1618;275.57;11;Rondônia;10564;2014;46522;Indústria;10564
Indicador  6.4.1;1618;140.72;11;Rondônia;10564;2014;13;Serviços;10564
Indicador  6.4.1;1618;6.71;11;Rondônia;10564;2014;45985;Agropecuária;10564
Indicador  6.4.1;1618;41.89;11;Rondônia;10564;2015;100374;Total;10564
Indicador  6.4.1;1618;250.24;11;Rondônia;10564;2015;46522;Indústria;10564
Indicador  6.4.1;1618;136.41;11;Rondônia;10564;2015;13;Serviços;10564
Indicador  6.4.1;1618;5.57;11;Rondônia;10564;2015;45985;Agropecuária;10564
Indicador  6.4.1;1618;38.35;11;Rondônia;10564;2016;100374;Total;10564
Indicador  6.4.1;1618;246.76;11;Rondônia;10564;2016;46522;Indústria;10564
Indicador  6.4.1;1618;131.14;11;Rondônia;10564;2016;13;Serviços;10564
Indicador  6.4.1;1618;5.26;11;Rondônia;10564;2016;45985;Agropecuária;10564
Indicador  6.4.1;1618;39.93;11;Rondônia;10564;2017;100374;Total;10564
Indicador  6.4.1;1618;228.04;11;Rondônia;10564;2017;46522;Indústria;10564
Indicador  6.4.1;1618;132.01;11;Rondônia;10564;2017;13;Serviços;10564
Indicador  6.4.1;1618;5.92;11;Rondônia;10564;2017;45985;Agropecuária;10564
Indicador  6.4.1;1618;37.50;11;Rondônia;10564;2018;100374;Total;10564
Indicador  6.4.1;1618;240.33;11;Rondônia;10564;2018;46522;Indústria;10564
Indicador  6.4.1;1618;138.60;11;Rondônia;10564;2018;13;Serviços;10564
Indicador  6.4.1;1618;5.42;11;Rondônia;10564;2018;45985;Agropecuária;10564
Indicador  6.4.1;1618;75.52;12;Acre;10564;2010;100374;Total;10564
Indicador  6.4.1;1618;298.49;12;Acre;10564;2010;46522;Indústria;10564
Indicador  6.4.1;1618;106.35;12;Acre;10564;2010;13;Serviços;10564
Indicador  6.4.1;1618;18.53;12;Acre;10564;2010;45985;Agropecuária;10564
Indicador  6.4.1;1618;77.55;12;Acre;10564;2011;100374;Total;10564
Indicador  6.4.1;1618;284.91;12;Acre;10564;2011;46522;Indústria;10564
Indicador  6.4.1;1618;107.83;12;Acre;10564;2011;13;Serviços;10564
Indicador  6.4.1;1618;19.29;12;Acre;10564;2011;45985;Agropecuária;10564
Indicador  6.4.1;1618;80.77;12;Acre;10564;2012;100374;Total;10564
Indicador  6.4.1;1618;314.83;12;Acre;10564;2012;46522;Indústria;10564
Indicador  6.4.1;1618;111.69;12;Acre;10564;2012;13;Serviços;10564
Indicador  6.4.1;1618;20.14;12;Acre;10564;2012;45985;Agropecuária;10564
Indicador  6.4.1;1618;80.99;12;Acre;10564;2013;100374;Total;10564
Indicador  6.4.1;1618;307.54;12;Acre;10564;2013;46522;Indústria;10564
Indicador  6.4.1;1618;111.69;12;Acre;10564;2013;13;Serviços;10564
Indicador  6.4.1;1618;20.72;12;Acre;10564;2013;45985;Agropecuária;10564
Indicador  6.4.1;1618;82.52;12;Acre;10564;2014;100374;Total;10564
Indicador  6.4.1;1618;332.99;12;Acre;10564;2014;46522;Indústria;10564
Indicador  6.4.1;1618;112.19;12;Acre;10564;2014;13;Serviços;10564
Indicador  6.4.1;1618;22.60;12;Acre;10564;2014;45985;Agropecuária;10564
Indicador  6.4.1;1618;77.02;12;Acre;10564;2015;100374;Total;10564
Indicador  6.4.1;1618;291.76;12;Acre;10564;2015;46522;Indústria;10564
Indicador  6.4.1;1618;108.64;12;Acre;10564;2015;13;Serviços;10564
Indicador  6.4.1;1618;20.02;12;Acre;10564;2015;45985;Agropecuária;10564
Indicador  6.4.1;1618;74.05;12;Acre;10564;2016;100374;Total;10564
Indicador  6.4.1;1618;305.98;12;Acre;10564;2016;46522;Indústria;10564
Indicador  6.4.1;1618;104.41;12;Acre;10564;2016;13;Serviços;10564
Indicador  6.4.1;1618;19.62;12;Acre;10564;2016;45985;Agropecuária;10564
Indicador  6.4.1;1618;75.13;12;Acre;10564;2017;100374;Total;10564
Indicador  6.4.1;1618;324.81;12;Acre;10564;2017;46522;Indústria;10564
Indicador  6.4.1;1618;105.02;12;Acre;10564;2017;13;Serviços;10564
Indicador  6.4.1;1618;18.41;12;Acre;10564;2017;45985;Agropecuária;10564
Indicador  6.4.1;1618;72.26;12;Acre;10564;2018;100374;Total;10564
Indicador  6.4.1;1618;350.00;12;Acre;10564;2018;46522;Indústria;10564
Indicador  6.4.1;1618;101.98;12;Acre;10564;2018;13;Serviços;10564
Indicador  6.4.1;1618;15.58;12;Acre;10564;2018;45985;Agropecuária;10564
Indicador  6.4.1;1618;81.14;13;Amazonas;10564;2010;100374;Total;10564
Indicador  6.4.1;1618;51.18;13;Amazonas;10564;2010;46522;Indústria;10564
Indicador  6.4.1;1618;136.36;13;Amazonas;10564;2010;13;Serviços;10564
Indicador  6.4.1;1618;58.21;13;Amazonas;10564;2010;45985;Agropecuária;10564
Indicador  6.4.1;1618;86.23;13;Amazonas;10564;2011;100374;Total;10564
Indicador  6.4.1;1618;55.99;13;Amazonas;10564;2011;46522;Indústria;10564
Indicador  6.4.1;1618;138.69;13;Amazonas;10564;2011;13;Serviços;10564
Indicador  6.4.1;1618;77.13;13;Amazonas;10564;2011;45985;Agropecuária;10564
Indicador  6.4.1;1618;86.80;13;Amazonas;10564;2012;100374;Total;10564
Indicador  6.4.1;1618;55.15;13;Amazonas;10564;2012;46522;Indústria;10564
Indicador  6.4.1;1618;142.20;13;Amazonas;10564;2012;13;Serviços;10564
Indicador  6.4.1;1618;70.59;13;Amazonas;10564;2012;45985;Agropecuária;10564
Indicador  6.4.1;1618;88.33;13;Amazonas;10564;2013;100374;Total;10564
Indicador  6.4.1;1618;57.48;13;Amazonas;10564;2013;46522;Indústria;10564
Indicador  6.4.1;1618;137.81;13;Amazonas;10564;2013;13;Serviços;10564
Indicador  6.4.1;1618;81.15;13;Amazonas;10564;2013;45985;Agropecuária;10564
Indicador  6.4.1;1618;87.36;13;Amazonas;10564;2014;100374;Total;10564
Indicador  6.4.1;1618;54.25;13;Amazonas;10564;2014;46522;Indústria;10564
Indicador  6.4.1;1618;140.33;13;Amazonas;10564;2014;13;Serviços;10564
Indicador  6.4.1;1618;74.55;13;Amazonas;10564;2014;45985;Agropecuária;10564
Indicador  6.4.1;1618;86.52;13;Amazonas;10564;2015;100374;Total;10564
Indicador  6.4.1;1618;49.11;13;Amazonas;10564;2015;46522;Indústria;10564
Indicador  6.4.1;1618;134.70;13;Amazonas;10564;2015;13;Serviços;10564
Indicador  6.4.1;1618;124.43;13;Amazonas;10564;2015;45985;Agropecuária;10564
Indicador  6.4.1;1618;154.70;13;Amazonas;10564;2016;100374;Total;10564
Indicador  6.4.1;1618;131.56;13;Amazonas;10564;2016;46522;Indústria;10564
Indicador  6.4.1;1618;127.40;13;Amazonas;10564;2016;13;Serviços;10564
Indicador  6.4.1;1618;398.27;13;Amazonas;10564;2016;45985;Agropecuária;10564
Indicador  6.4.1;1618;134.92;13;Amazonas;10564;2017;100374;Total;10564
Indicador  6.4.1;1618;164.60;13;Amazonas;10564;2017;46522;Indústria;10564
Indicador  6.4.1;1618;130.54;13;Amazonas;10564;2017;13;Serviços;10564
Indicador  6.4.1;1618;83.69;13;Amazonas;10564;2017;45985;Agropecuária;10564
Indicador  6.4.1;1618;116.98;13;Amazonas;10564;2018;100374;Total;10564
Indicador  6.4.1;1618;100.73;13;Amazonas;10564;2018;46522;Indústria;10564
Indicador  6.4.1;1618;134.93;13;Amazonas;10564;2018;13;Serviços;10564
Indicador  6.4.1;1618;79.31;13;Amazonas;10564;2018;45985;Agropecuária;10564
Indicador  6.4.1;1618;45.16;14;Roraima;10564;2010;100374;Total;10564
Indicador  6.4.1;1618;677.42;14;Roraima;10564;2010;46522;Indústria;10564
Indicador  6.4.1;1618;132.29;14;Roraima;10564;2010;13;Serviços;10564
Indicador  6.4.1;1618;1.98;14;Roraima;10564;2010;45985;Agropecuária;10564
Indicador  6.4.1;1618;41.84;14;Roraima;10564;2011;100374;Total;10564
Indicador  6.4.1;1618;562.91;14;Roraima;10564;2011;46522;Indústria;10564
Indicador  6.4.1;1618;133.96;14;Roraima;10564;2011;13;Serviços;10564
Indicador  6.4.1;1618;1.71;14;Roraima;10564;2011;45985;Agropecuária;10564
Indicador  6.4.1;1618;38.20;14;Roraima;10564;2012;100374;Total;10564
Indicador  6.4.1;1618;548.27;14;Roraima;10564;2012;46522;Indústria;10564
Indicador  6.4.1;1618;135.88;14;Roraima;10564;2012;13;Serviços;10564
Indicador  6.4.1;1618;1.62;14;Roraima;10564;2012;45985;Agropecuária;10564
Indicador  6.4.1;1618;39.86;14;Roraima;10564;2013;100374;Total;10564
Indicador  6.4.1;1618;485.00;14;Roraima;10564;2013;46522;Indústria;10564
Indicador  6.4.1;1618;136.24;14;Roraima;10564;2013;13;Serviços;10564
Indicador  6.4.1;1618;2.05;14;Roraima;10564;2013;45985;Agropecuária;10564
Indicador  6.4.1;1618;34.70;14;Roraima;10564;2014;100374;Total;10564
Indicador  6.4.1;1618;502.73;14;Roraima;10564;2014;46522;Indústria;10564
Indicador  6.4.1;1618;137.75;14;Roraima;10564;2014;13;Serviços;10564
Indicador  6.4.1;1618;1.95;14;Roraima;10564;2014;45985;Agropecuária;10564
Indicador  6.4.1;1618;32.42;14;Roraima;10564;2015;100374;Total;10564
Indicador  6.4.1;1618;488.94;14;Roraima;10564;2015;46522;Indústria;10564
Indicador  6.4.1;1618;132.39;14;Roraima;10564;2015;13;Serviços;10564
Indicador  6.4.1;1618;3.54;14;Roraima;10564;2015;45985;Agropecuária;10564
Indicador  6.4.1;1618;36.04;14;Roraima;10564;2016;100374;Total;10564
Indicador  6.4.1;1618;415.07;14;Roraima;10564;2016;46522;Indústria;10564
Indicador  6.4.1;1618;132.21;14;Roraima;10564;2016;13;Serviços;10564
Indicador  6.4.1;1618;4.08;14;Roraima;10564;2016;45985;Agropecuária;10564
Indicador  6.4.1;1618;165.49;14;Roraima;10564;2017;100374;Total;10564
Indicador  6.4.1;1618;509.10;14;Roraima;10564;2017;46522;Indústria;10564
Indicador  6.4.1;1618;134.90;14;Roraima;10564;2017;13;Serviços;10564
Indicador  6.4.1;1618;171.36;14;Roraima;10564;2017;45985;Agropecuária;10564
Indicador  6.4.1;1618;40.85;14;Roraima;10564;2018;100374;Total;10564
Indicador  6.4.1;1618;515.95;14;Roraima;10564;2018;46522;Indústria;10564
Indicador  6.4.1;1618;126.51;14;Roraima;10564;2018;13;Serviços;10564
Indicador  6.4.1;1618;13.61;14;Roraima;10564;2018;45985;Agropecuária;10564
Indicador  6.4.1;1618;58.51;15;Pará;10564;2010;100374;Total;10564
Indicador  6.4.1;1618;54.29;15;Pará;10564;2010;46522;Indústria;10564
Indicador  6.4.1;1618;124.16;15;Pará;10564;2010;13;Serviços;10564
Indicador  6.4.1;1618;-1.29;15;Pará;10564;2010;45985;Agropecuária;10564
Indicador  6.4.1;1618;58.33;15;Pará;10564;2011;100374;Total;10564
Indicador  6.4.1;1618;52.50;15;Pará;10564;2011;46522;Indústria;10564
Indicador  6.4.1;1618;125.86;15;Pará;10564;2011;13;Serviços;10564
Indicador  6.4.1;1618;0.01;15;Pará;10564;2011;45985;Agropecuária;10564
Indicador  6.4.1;1618;58.96;15;Pará;10564;2012;100374;Total;10564
Indicador  6.4.1;1618;53.06;15;Pará;10564;2012;46522;Indústria;10564
Indicador  6.4.1;1618;129.62;15;Pará;10564;2012;13;Serviços;10564
Indicador  6.4.1;1618;1.63;15;Pará;10564;2012;45985;Agropecuária;10564
Indicador  6.4.1;1618;60.87;15;Pará;10564;2013;100374;Total;10564
Indicador  6.4.1;1618;51.85;15;Pará;10564;2013;46522;Indústria;10564
