ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO
Indicador  8.5.1;1769;16.3;1;Brasil;8828;2012;6794;Total
Indicador  8.5.1;1769;17.3;1;Brasil;8828;2012;4;Homens
Indicador  8.5.1;1769;14.7;1;Brasil;8828;2012;5;Mulheres
Indicador  8.5.1;1769;17.0;1;Brasil;8828;2013;6794;Total
Indicador  8.5.1;1769;18.1;1;Brasil;8828;2013;4;Homens
Indicador  8.5.1;1769;15.2;1;Brasil;8828;2013;5;Mulheres
Indicador  8.5.1;1769;17.7;1;Brasil;8828;2014;6794;Total
Indicador  8.5.1;1769;18.8;1;Brasil;8828;2014;4;Homens
Indicador  8.5.1;1769;15.9;1;Brasil;8828;2014;5;Mulheres
Indicador  8.5.1;1769;17.2;1;Brasil;8828;2015;6794;Total
Indicador  8.5.1;1769;18.2;1;Brasil;8828;2015;4;Homens
Indicador  8.5.1;1769;15.5;1;Brasil;8828;2015;5;Mulheres
Indicador  8.5.1;1769;17.4;1;Brasil;8828;2016;6794;Total
Indicador  8.5.1;1769;18.3;1;Brasil;8828;2016;4;Homens
Indicador  8.5.1;1769;15.8;1;Brasil;8828;2016;5;Mulheres
Indicador  8.5.1;1769;17.3;1;Brasil;8828;2017;6794;Total
Indicador  8.5.1;1769;18.3;1;Brasil;8828;2017;4;Homens
Indicador  8.5.1;1769;15.8;1;Brasil;8828;2017;5;Mulheres
Indicador  8.5.1;1769;17.7;1;Brasil;8828;2018;6794;Total
Indicador  8.5.1;1769;18.5;1;Brasil;8828;2018;4;Homens
Indicador  8.5.1;1769;16.4;1;Brasil;8828;2018;5;Mulheres
Indicador  8.5.1;1769;17.6;1;Brasil;8828;2019;6794;Total
Indicador  8.5.1;1769;18.5;1;Brasil;8828;2019;4;Homens
Indicador  8.5.1;1769;16.2;1;Brasil;8828;2019;5;Mulheres
Indicador  8.5.1;1769;18.2;1;Brasil;8828;2020;6794;Total
Indicador  8.5.1;1769;19.1;1;Brasil;8828;2020;4;Homens
Indicador  8.5.1;1769;16.8;1;Brasil;8828;2020;5;Mulheres
Indicador  8.5.1;1769;17.1;1;Brasil;8828;2021;6794;Total
Indicador  8.5.1;1769;17.8;1;Brasil;8828;2021;4;Homens
Indicador  8.5.1;1769;16.0;1;Brasil;8828;2021;5;Mulheres
Indicador  8.5.1;1769;16.7;1;Brasil;8828;2022;6794;Total
Indicador  8.5.1;1769;17.6;1;Brasil;8828;2022;4;Homens
Indicador  8.5.1;1769;15.4;1;Brasil;8828;2022;5;Mulheres
Indicador  8.5.1;1769;17.9;1;Brasil;8828;2023;6794;Total
Indicador  8.5.1;1769;18.9;1;Brasil;8828;2023;4;Homens
Indicador  8.5.1;1769;16.6;1;Brasil;8828;2023;5;Mulheres
Indicador  8.5.1;1769;18.5;1;Brasil;8828;2024;6794;Total
Indicador  8.5.1;1769;19.6;1;Brasil;8828;2024;4;Homens
Indicador  8.5.1;1769;17.0;1;Brasil;8828;2024;5;Mulheres
Indicador  8.5.1;1769;13.8;11;Rondônia;8828;2012;6794;Total
Indicador  8.5.1;1769;14.2;11;Rondônia;8828;2012;4;Homens
Indicador  8.5.1;1769;13.1;11;Rondônia;8828;2012;5;Mulheres
Indicador  8.5.1;1769;14.0;11;Rondônia;8828;2013;6794;Total
Indicador  8.5.1;1769;14.5;11;Rondônia;8828;2013;4;Homens
Indicador  8.5.1;1769;12.8;11;Rondônia;8828;2013;5;Mulheres
Indicador  8.5.1;1769;14.2;11;Rondônia;8828;2014;6794;Total
Indicador  8.5.1;1769;15.1;11;Rondônia;8828;2014;4;Homens
Indicador  8.5.1;1769;12.3;11;Rondônia;8828;2014;5;Mulheres
Indicador  8.5.1;1769;14.5;11;Rondônia;8828;2015;6794;Total
Indicador  8.5.1;1769;15.1;11;Rondônia;8828;2015;4;Homens
Indicador  8.5.1;1769;13.0;11;Rondônia;8828;2015;5;Mulheres
Indicador  8.5.1;1769;13.6;11;Rondônia;8828;2016;6794;Total
Indicador  8.5.1;1769;13.9;11;Rondônia;8828;2016;4;Homens
Indicador  8.5.1;1769;13.1;11;Rondônia;8828;2016;5;Mulheres
Indicador  8.5.1;1769;14.3;11;Rondônia;8828;2017;6794;Total
Indicador  8.5.1;1769;14.8;11;Rondônia;8828;2017;4;Homens
Indicador  8.5.1;1769;13.3;11;Rondônia;8828;2017;5;Mulheres
Indicador  8.5.1;1769;16.1;11;Rondônia;8828;2018;6794;Total
Indicador  8.5.1;1769;16.4;11;Rondônia;8828;2018;4;Homens
Indicador  8.5.1;1769;15.7;11;Rondônia;8828;2018;5;Mulheres
Indicador  8.5.1;1769;15.5;11;Rondônia;8828;2019;6794;Total
Indicador  8.5.1;1769;16.4;11;Rondônia;8828;2019;4;Homens
Indicador  8.5.1;1769;14.0;11;Rondônia;8828;2019;5;Mulheres
Indicador  8.5.1;1769;14.6;11;Rondônia;8828;2020;6794;Total
Indicador  8.5.1;1769;14.8;11;Rondônia;8828;2020;4;Homens
Indicador  8.5.1;1769;14.2;11;Rondônia;8828;2020;5;Mulheres
Indicador  8.5.1;1769;13.9;11;Rondônia;8828;2021;6794;Total
Indicador  8.5.1;1769;14.6;11;Rondônia;8828;2021;4;Homens
Indicador  8.5.1;1769;12.7;11;Rondônia;8828;2021;5;Mulheres
Indicador  8.5.1;1769;14.7;11;Rondônia;8828;2022;6794;Total
Indicador  8.5.1;1769;15.5;11;Rondônia;8828;2022;4;Homens
Indicador  8.5.1;1769;13.2;11;Rondônia;8828;2022;5;Mulheres
Indicador  8.5.1;1769;16.3;11;Rondônia;8828;2023;6794;Total
Indicador  8.5.1;1769;17.2;11;Rondônia;8828;2023;4;Homens
Indicador  8.5.1;1769;14.8;11;Rondônia;8828;2023;5;Mulheres
Indicador  8.5.1;1769;17.6;11;Rondônia;8828;2024;6794;Total
Indicador  8.5.1;1769;18.5;11;Rondônia;8828;2024;4;Homens
Indicador  8.5.1;1769;16.3;11;Rondônia;8828;2024;5;Mulheres
Indicador  8.5.1;1769;14.8;12;Acre;8828;2012;6794;Total
Indicador  8.5.1;1769;14.6;12;Acre;8828;2012;4;Homens
Indicador  8.5.1;1769;15.2;12;Acre;8828;2012;5;Mulheres
Indicador  8.5.1;1769;14.2;12;Acre;8828;2013;6794;Total
Indicador  8.5.1;1769;14.0;12;Acre;8828;2013;4;Homens
Indicador  8.5.1;1769;14.5;12;Acre;8828;2013;5;Mulheres
Indicador  8.5.1;1769;15.2;12;Acre;8828;2014;6794;Total
Indicador  8.5.1;1769;15.0;12;Acre;8828;2014;4;Homens
Indicador  8.5.1;1769;15.7;12;Acre;8828;2014;5;Mulheres
Indicador  8.5.1;1769;15.7;12;Acre;8828;2015;6794;Total
Indicador  8.5.1;1769;15.4;12;Acre;8828;2015;4;Homens
Indicador  8.5.1;1769;16.2;12;Acre;8828;2015;5;Mulheres
Indicador  8.5.1;1769;14.7;12;Acre;8828;2016;6794;Total
Indicador  8.5.1;1769;14.8;12;Acre;8828;2016;4;Homens
Indicador  8.5.1;1769;14.5;12;Acre;8828;2016;5;Mulheres
Indicador  8.5.1;1769;14.5;12;Acre;8828;2017;6794;Total
Indicador  8.5.1;1769;14.3;12;Acre;8828;2017;4;Homens
Indicador  8.5.1;1769;14.8;12;Acre;8828;2017;5;Mulheres
Indicador  8.5.1;1769;15.4;12;Acre;8828;2018;6794;Total
Indicador  8.5.1;1769;15.1;12;Acre;8828;2018;4;Homens
Indicador  8.5.1;1769;15.8;12;Acre;8828;2018;5;Mulheres
Indicador  8.5.1;1769;15.3;12;Acre;8828;2019;6794;Total
Indicador  8.5.1;1769;15.2;12;Acre;8828;2019;4;Homens
Indicador  8.5.1;1769;15.4;12;Acre;8828;2019;5;Mulheres
Indicador  8.5.1;1769;15.5;12;Acre;8828;2020;6794;Total
Indicador  8.5.1;1769;16.0;12;Acre;8828;2020;4;Homens
Indicador  8.5.1;1769;14.7;12;Acre;8828;2020;5;Mulheres
Indicador  8.5.1;1769;14.1;12;Acre;8828;2021;6794;Total
Indicador  8.5.1;1769;14.2;12;Acre;8828;2021;4;Homens
Indicador  8.5.1;1769;13.9;12;Acre;8828;2021;5;Mulheres
Indicador  8.5.1;1769;14.8;12;Acre;8828;2022;6794;Total
Indicador  8.5.1;1769;14.6;12;Acre;8828;2022;4;Homens
Indicador  8.5.1;1769;15.0;12;Acre;8828;2022;5;Mulheres
Indicador  8.5.1;1769;15.2;12;Acre;8828;2023;6794;Total
Indicador  8.5.1;1769;15.1;12;Acre;8828;2023;4;Homens
Indicador  8.5.1;1769;15.3;12;Acre;8828;2023;5;Mulheres
Indicador  8.5.1;1769;15.5;12;Acre;8828;2024;6794;Total
Indicador  8.5.1;1769;15.2;12;Acre;8828;2024;4;Homens
Indicador  8.5.1;1769;16.2;12;Acre;8828;2024;5;Mulheres
Indicador  8.5.1;1769;14.6;13;Amazonas;8828;2012;6794;Total
Indicador  8.5.1;1769;14.5;13;Amazonas;8828;2012;4;Homens
Indicador  8.5.1;1769;14.7;13;Amazonas;8828;2012;5;Mulheres
Indicador  8.5.1;1769;14.9;13;Amazonas;8828;2013;6794;Total
Indicador  8.5.1;1769;15.0;13;Amazonas;8828;2013;4;Homens
Indicador  8.5.1;1769;14.9;13;Amazonas;8828;2013;5;Mulheres
Indicador  8.5.1;1769;15.1;13;Amazonas;8828;2014;6794;Total
Indicador  8.5.1;1769;15.8;13;Amazonas;8828;2014;4;Homens
Indicador  8.5.1;1769;13.7;13;Amazonas;8828;2014;5;Mulheres
Indicador  8.5.1;1769;14.8;13;Amazonas;8828;2015;6794;Total
Indicador  8.5.1;1769;14.9;13;Amazonas;8828;2015;4;Homens
Indicador  8.5.1;1769;14.5;13;Amazonas;8828;2015;5;Mulheres
Indicador  8.5.1;1769;13.7;13;Amazonas;8828;2016;6794;Total
Indicador  8.5.1;1769;13.7;13;Amazonas;8828;2016;4;Homens
Indicador  8.5.1;1769;13.6;13;Amazonas;8828;2016;5;Mulheres
Indicador  8.5.1;1769;15.7;13;Amazonas;8828;2017;6794;Total
Indicador  8.5.1;1769;16.2;13;Amazonas;8828;2017;4;Homens
Indicador  8.5.1;1769;15.0;13;Amazonas;8828;2017;5;Mulheres
Indicador  8.5.1;1769;13.4;13;Amazonas;8828;2018;6794;Total
Indicador  8.5.1;1769;13.4;13;Amazonas;8828;2018;4;Homens
Indicador  8.5.1;1769;13.3;13;Amazonas;8828;2018;5;Mulheres
Indicador  8.5.1;1769;13.7;13;Amazonas;8828;2019;6794;Total
Indicador  8.5.1;1769;13.5;13;Amazonas;8828;2019;4;Homens
Indicador  8.5.1;1769;14.0;13;Amazonas;8828;2019;5;Mulheres
Indicador  8.5.1;1769;14.6;13;Amazonas;8828;2020;6794;Total
Indicador  8.5.1;1769;14.2;13;Amazonas;8828;2020;4;Homens
Indicador  8.5.1;1769;15.5;13;Amazonas;8828;2020;5;Mulheres
Indicador  8.5.1;1769;13.4;13;Amazonas;8828;2021;6794;Total
Indicador  8.5.1;1769;13.6;13;Amazonas;8828;2021;4;Homens
Indicador  8.5.1;1769;13.1;13;Amazonas;8828;2021;5;Mulheres
Indicador  8.5.1;1769;13.1;13;Amazonas;8828;2022;6794;Total
Indicador  8.5.1;1769;12.9;13;Amazonas;8828;2022;4;Homens
Indicador  8.5.1;1769;13.4;13;Amazonas;8828;2022;5;Mulheres
