ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_IDADE;DESC_IDADE
Indicador  8.5.2.3;2;7.3;1;Brasil;10004;2012;95253;Total
Indicador  8.5.2.3;2;21.7;1;Brasil;10004;2012;2792;15 a 17 anos
Indicador  8.5.2.3;2;14.5;1;Brasil;10004;2012;100052;18 a 24 anos
Indicador  8.5.2.3;2;8.9;1;Brasil;10004;2012;1145;25 a 29 anos
Indicador  8.5.2.3;2;5.8;1;Brasil;10004;2012;3299;30 a 39 anos
Indicador  8.5.2.3;2;4.0;1;Brasil;10004;2012;3300;40 a 49 anos
Indicador  8.5.2.3;2;3.2;1;Brasil;10004;2012;3301;50 a 59 anos
Indicador  8.5.2.3;2;1.9;1;Brasil;10004;2012;3302;60 anos ou mais
Indicador  8.5.2.3;2;7.3;1;Brasil;10004;2013;95253;Total
Indicador  8.5.2.3;2;21.6;1;Brasil;10004;2013;2792;15 a 17 anos
Indicador  8.5.2.3;2;14.9;1;Brasil;10004;2013;100052;18 a 24 anos
Indicador  8.5.2.3;2;8.6;1;Brasil;10004;2013;1145;25 a 29 anos
Indicador  8.5.2.3;2;5.8;1;Brasil;10004;2013;3299;30 a 39 anos
Indicador  8.5.2.3;2;4.0;1;Brasil;10004;2013;3300;40 a 49 anos
Indicador  8.5.2.3;2;3.0;1;Brasil;10004;2013;3301;50 a 59 anos
Indicador  8.5.2.3;2;1.7;1;Brasil;10004;2013;3302;60 anos ou mais
Indicador  8.5.2.3;2;7.0;1;Brasil;10004;2014;95253;Total
Indicador  8.5.2.3;2;21.5;1;Brasil;10004;2014;2792;15 a 17 anos
Indicador  8.5.2.3;2;14.6;1;Brasil;10004;2014;100052;18 a 24 anos
Indicador  8.5.2.3;2;8.4;1;Brasil;10004;2014;1145;25 a 29 anos
Indicador  8.5.2.3;2;5.7;1;Brasil;10004;2014;3299;30 a 39 anos
Indicador  8.5.2.3;2;3.7;1;Brasil;10004;2014;3300;40 a 49 anos
Indicador  8.5.2.3;2;3.0;1;Brasil;10004;2014;3301;50 a 59 anos
Indicador  8.5.2.3;2;1.9;1;Brasil;10004;2014;3302;60 anos ou mais
Indicador  8.5.2.3;2;8.8;1;Brasil;10004;2015;95253;Total
Indicador  8.5.2.3;2;26.6;1;Brasil;10004;2015;2792;15 a 17 anos
Indicador  8.5.2.3;2;18.7;1;Brasil;10004;2015;100052;18 a 24 anos
Indicador  8.5.2.3;2;10.3;1;Brasil;10004;2015;1145;25 a 29 anos
Indicador  8.5.2.3;2;7.1;1;Brasil;10004;2015;3299;30 a 39 anos
Indicador  8.5.2.3;2;5.1;1;Brasil;10004;2015;3300;40 a 49 anos
Indicador  8.5.2.3;2;3.8;1;Brasil;10004;2015;3301;50 a 59 anos
Indicador  8.5.2.3;2;2.5;1;Brasil;10004;2015;3302;60 anos ou mais
Indicador  8.5.2.3;2;11.6;1;Brasil;10004;2016;95253;Total
Indicador  8.5.2.3;2;40.4;1;Brasil;10004;2016;2792;15 a 17 anos
Indicador  8.5.2.3;2;24.6;1;Brasil;10004;2016;100052;18 a 24 anos
Indicador  8.5.2.3;2;12.9;1;Brasil;10004;2016;1145;25 a 29 anos
Indicador  8.5.2.3;2;9.3;1;Brasil;10004;2016;3299;30 a 39 anos
Indicador  8.5.2.3;2;6.9;1;Brasil;10004;2016;3300;40 a 49 anos
Indicador  8.5.2.3;2;5.5;1;Brasil;10004;2016;3301;50 a 59 anos
Indicador  8.5.2.3;2;3.5;1;Brasil;10004;2016;3302;60 anos ou mais
Indicador  8.5.2.3;2;12.6;1;Brasil;10004;2017;95253;Total
Indicador  8.5.2.3;2;40.9;1;Brasil;10004;2017;2792;15 a 17 anos
Indicador  8.5.2.3;2;25.6;1;Brasil;10004;2017;100052;18 a 24 anos
Indicador  8.5.2.3;2;13.9;1;Brasil;10004;2017;1145;25 a 29 anos
