ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO
Indicador  9.b.1;2;36.6;1;Brasil;9315;2010
Indicador  9.b.1;2;36.8;1;Brasil;9315;2011
Indicador  9.b.1;2;36.0;1;Brasil;9315;2012
Indicador  9.b.1;2;37.0;1;Brasil;9315;2013
Indicador  9.b.1;2;34.5;1;Brasil;9315;2014
Indicador  9.b.1;2;30.7;1;Brasil;9315;2015
Indicador  9.b.1;2;29.3;1;Brasil;9315;2016
Indicador  9.b.1;2;30.4;1;Brasil;9315;2017
Indicador  9.b.1;2;30.4;1;Brasil;9315;2018
Indicador  9.b.1;2;31.4;1;Brasil;9315;2019
Indicador  9.b.1;2;29.6;1;Brasil;9315;2020
Indicador  9.b.1;2;29.2;1;Brasil;9315;2021
Indicador  9.b.1;2;6.8;11;Rondônia;9315;2010
Indicador  9.b.1;2;9.8;11;Rondônia;9315;2011
Indicador  9.b.1;2;6.8;11;Rondônia;9315;2012
Indicador  9.b.1;2;4.9;11;Rondônia;9315;2013
Indicador  9.b.1;2;4.6;11;Rondônia;9315;2014
Indicador  9.b.1;2;5.3;11;Rondônia;9315;2015
Indicador  9.b.1;2;3.0;11;Rondônia;9315;2016
Indicador  9.b.1;2;3.9;11;Rondônia;9315;2017
Indicador  9.b.1;2;3.3;11;Rondônia;9315;2018
Indicador  9.b.1;2;4.0;11;Rondônia;9315;2019
Indicador  9.b.1;2;3.9;11;Rondônia;9315;2020
Indicador  9.b.1;2;5.9;11;Rondônia;9315;2021
Indicador  9.b.1;2;2.0;12;Acre;9315;2010
Indicador  9.b.1;2;2.3;12;Acre;9315;2011
Indicador  9.b.1;2;1.8;12;Acre;9315;2012
Indicador  9.b.1;2;2.2;12;Acre;9315;2013
Indicador  9.b.1;2;4.0;12;Acre;9315;2014
Indicador  9.b.1;2;3.5;12;Acre;9315;2015
Indicador  9.b.1;2;3.8;12;Acre;9315;2016
Indicador  9.b.1;2;2.8;12;Acre;9315;2017
Indicador  9.b.1;2;2.3;12;Acre;9315;2018
Indicador  9.b.1;2;1.3;12;Acre;9315;2019
Indicador  9.b.1;2;0.6;12;Acre;9315;2020
Indicador  9.b.1;2;6.1;12;Acre;9315;2021
Indicador  9.b.1;2;53.7;13;Amazonas;9315;2010
Indicador  9.b.1;2;54.7;13;Amazonas;9315;2011
Indicador  9.b.1;2;47.7;13;Amazonas;9315;2012
Indicador  9.b.1;2;51.9;13;Amazonas;9315;2013
Indicador  9.b.1;2;46.0;13;Amazonas;9315;2014
Indicador  9.b.1;2;43.7;13;Amazonas;9315;2015
Indicador  9.b.1;2;46.3;13;Amazonas;9315;2016
Indicador  9.b.1;2;50.7;13;Amazonas;9315;2017
Indicador  9.b.1;2;50.4;13;Amazonas;9315;2018
Indicador  9.b.1;2;50.2;13;Amazonas;9315;2019
Indicador  9.b.1;2;51.0;13;Amazonas;9315;2020
Indicador  9.b.1;2;49.5;13;Amazonas;9315;2021
Indicador  9.b.1;2;0.5;14;Roraima;9315;2010
Indicador  9.b.1;2;0.4;14;Roraima;9315;2011
Indicador  9.b.1;2;0.8;14;Roraima;9315;2012
Indicador  9.b.1;2;0.8;14;Roraima;9315;2013
Indicador  9.b.1;2;0.7;14;Roraima;9315;2014
Indicador  9.b.1;2;0.9;14;Roraima;9315;2015
Indicador  9.b.1;2;0.6;14;Roraima;9315;2016
Indicador  9.b.1;2;0.5;14;Roraima;9315;2017
Indicador  9.b.1;2;-0.3;14;Roraima;9315;2018
Indicador  9.b.1;2;1.8;14;Roraima;9315;2019
Indicador  9.b.1;2;-0.1;14;Roraima;9315;2020
Indicador  9.b.1;2;-0.3;14;Roraima;9315;2021
Indicador  9.b.1;2;3.7;15;Pará;9315;2010
Indicador  9.b.1;2;5.4;15;Pará;9315;2011
Indicador  9.b.1;2;5.1;15;Pará;9315;2012
Indicador  9.b.1;2;6.7;15;Pará;9315;2013
Indicador  9.b.1;2;6.1;15;Pará;9315;2014
Indicador  9.b.1;2;5.5;15;Pará;9315;2015
Indicador  9.b.1;2;8.2;15;Pará;9315;2016
Indicador  9.b.1;2;7.4;15;Pará;9315;2017
Indicador  9.b.1;2;3.9;15;Pará;9315;2018
Indicador  9.b.1;2;9.4;15;Pará;9315;2019
Indicador  9.b.1;2;6.0;15;Pará;9315;2020
Indicador  9.b.1;2;2.6;15;Pará;9315;2021
Indicador  9.b.1;2;1.4;16;Amapá;9315;2010
Indicador  9.b.1;2;6.0;16;Amapá;9315;2011
Indicador  9.b.1;2;5.2;16;Amapá;9315;2012
Indicador  9.b.1;2;2.0;16;Amapá;9315;2013
Indicador  9.b.1;2;2.2;16;Amapá;9315;2014
Indicador  9.b.1;2;0.8;16;Amapá;9315;2015
Indicador  9.b.1;2;2.3;16;Amapá;9315;2016
Indicador  9.b.1;2;5.5;16;Amapá;9315;2017
Indicador  9.b.1;2;1.6;16;Amapá;9315;2018
Indicador  9.b.1;2;7.1;16;Amapá;9315;2019
Indicador  9.b.1;2;2.5;16;Amapá;9315;2020
Indicador  9.b.1;2;-1.3;16;Amapá;9315;2021
Indicador  9.b.1;2;8.8;17;Tocantins;9315;2010
Indicador  9.b.1;2;12.9;17;Tocantins;9315;2011
Indicador  9.b.1;2;8.7;17;Tocantins;9315;2012
Indicador  9.b.1;2;11.0;17;Tocantins;9315;2013
Indicador  9.b.1;2;5.6;17;Tocantins;9315;2014
Indicador  9.b.1;2;4.3;17;Tocantins;9315;2015
Indicador  9.b.1;2;8.8;17;Tocantins;9315;2016
Indicador  9.b.1;2;1.7;17;Tocantins;9315;2017
Indicador  9.b.1;2;1.3;17;Tocantins;9315;2018
Indicador  9.b.1;2;8.6;17;Tocantins;9315;2019
Indicador  9.b.1;2;3.1;17;Tocantins;9315;2020
Indicador  9.b.1;2;5.7;17;Tocantins;9315;2021
Indicador  9.b.1;2;6.1;21;Maranhão;9315;2010
Indicador  9.b.1;2;7.5;21;Maranhão;9315;2011
Indicador  9.b.1;2;6.0;21;Maranhão;9315;2012
Indicador  9.b.1;2;5.5;21;Maranhão;9315;2013
Indicador  9.b.1;2;4.6;21;Maranhão;9315;2014
Indicador  9.b.1;2;5.2;21;Maranhão;9315;2015
Indicador  9.b.1;2;8.0;21;Maranhão;9315;2016
Indicador  9.b.1;2;5.0;21;Maranhão;9315;2017
Indicador  9.b.1;2;3.4;21;Maranhão;9315;2018
Indicador  9.b.1;2;8.9;21;Maranhão;9315;2019
Indicador  9.b.1;2;6.4;21;Maranhão;9315;2020
Indicador  9.b.1;2;-3.3;21;Maranhão;9315;2021
Indicador  9.b.1;2;8.6;22;Piauí;9315;2010
Indicador  9.b.1;2;8.0;22;Piauí;9315;2011
Indicador  9.b.1;2;9.4;22;Piauí;9315;2012
Indicador  9.b.1;2;10.5;22;Piauí;9315;2013
Indicador  9.b.1;2;6.0;22;Piauí;9315;2014
Indicador  9.b.1;2;6.2;22;Piauí;9315;2015
Indicador  9.b.1;2;8.0;22;Piauí;9315;2016
Indicador  9.b.1;2;10.6;22;Piauí;9315;2017
Indicador  9.b.1;2;9.6;22;Piauí;9315;2018
Indicador  9.b.1;2;11.3;22;Piauí;9315;2019
Indicador  9.b.1;2;11.5;22;Piauí;9315;2020
Indicador  9.b.1;2;5.5;22;Piauí;9315;2021
Indicador  9.b.1;2;10.5;23;Ceará;9315;2010
Indicador  9.b.1;2;8.9;23;Ceará;9315;2011
Indicador  9.b.1;2;8.7;23;Ceará;9315;2012
Indicador  9.b.1;2;8.6;23;Ceará;9315;2013
Indicador  9.b.1;2;7.4;23;Ceará;9315;2014
Indicador  9.b.1;2;8.0;23;Ceará;9315;2015
Indicador  9.b.1;2;13.5;23;Ceará;9315;2016
Indicador  9.b.1;2;11.7;23;Ceará;9315;2017
Indicador  9.b.1;2;13.5;23;Ceará;9315;2018
Indicador  9.b.1;2;13.9;23;Ceará;9315;2019
Indicador  9.b.1;2;11.9;23;Ceará;9315;2020
Indicador  9.b.1;2;9.6;23;Ceará;9315;2021
Indicador  9.b.1;2;3.8;24;Rio Grande do Norte;9315;2010
Indicador  9.b.1;2;7.4;24;Rio Grande do Norte;9315;2011
Indicador  9.b.1;2;6.6;24;Rio Grande do Norte;9315;2012
Indicador  9.b.1;2;5.6;24;Rio Grande do Norte;9315;2013
Indicador  9.b.1;2;4.6;24;Rio Grande do Norte;9315;2014
Indicador  9.b.1;2;3.8;24;Rio Grande do Norte;9315;2015
Indicador  9.b.1;2;1.9;24;Rio Grande do Norte;9315;2016
Indicador  9.b.1;2;1.7;24;Rio Grande do Norte;9315;2017
Indicador  9.b.1;2;2.8;24;Rio Grande do Norte;9315;2018
Indicador  9.b.1;2;3.4;24;Rio Grande do Norte;9315;2019
Indicador  9.b.1;2;0.9;24;Rio Grande do Norte;9315;2020
Indicador  9.b.1;2;0.4;24;Rio Grande do Norte;9315;2021
Indicador  9.b.1;2;2.8;25;Paraíba;9315;2010
Indicador  9.b.1;2;2.7;25;Paraíba;9315;2011
Indicador  9.b.1;2;3.4;25;Paraíba;9315;2012
Indicador  9.b.1;2;3.0;25;Paraíba;9315;2013
Indicador  9.b.1;2;3.0;25;Paraíba;9315;2014
Indicador  9.b.1;2;2.2;25;Paraíba;9315;2015
Indicador  9.b.1;2;3.3;25;Paraíba;9315;2016
Indicador  9.b.1;2;3.2;25;Paraíba;9315;2017
Indicador  9.b.1;2;2.9;25;Paraíba;9315;2018
Indicador  9.b.1;2;4.7;25;Paraíba;9315;2019
Indicador  9.b.1;2;4.5;25;Paraíba;9315;2020
Indicador  9.b.1;2;5.0;25;Paraíba;9315;2021
Indicador  9.b.1;2;21.2;26;Pernambuco;9315;2010
Indicador  9.b.1;2;17.0;26;Pernambuco;9315;2011
Indicador  9.b.1;2;15.7;26;Pernambuco;9315;2012
Indicador  9.b.1;2;18.1;26;Pernambuco;9315;2013
Indicador  9.b.1;2;20.0;26;Pernambuco;9315;2014
Indicador  9.b.1;2;19.5;26;Pernambuco;9315;2015
Indicador  9.b.1;2;23.1;26;Pernambuco;9315;2016
Indicador  9.b.1;2;34.3;26;Pernambuco;9315;2017
Indicador  9.b.1;2;35.8;26;Pernambuco;9315;2018
Indicador  9.b.1;2;34.9;26;Pernambuco;9315;2019
Indicador  9.b.1;2;24.1;26;Pernambuco;9315;2020
Indicador  9.b.1;2;32.5;26;Pernambuco;9315;2021
Indicador  9.b.1;2;16.9;27;Alagoas;9315;2010
Indicador  9.b.1;2;15.0;27;Alagoas;9315;2011
Indicador  9.b.1;2;11.7;27;Alagoas;9315;2012
Indicador  9.b.1;2;16.4;27;Alagoas;9315;2013
Indicador  9.b.1;2;11.7;27;Alagoas;9315;2014
Indicador  9.b.1;2;16.8;27;Alagoas;9315;2015
Indicador  9.b.1;2;24.7;27;Alagoas;9315;2016
Indicador  9.b.1;2;21.9;27;Alagoas;9315;2017
Indicador  9.b.1;2;18.6;27;Alagoas;9315;2018
Indicador  9.b.1;2;14.6;27;Alagoas;9315;2019
Indicador  9.b.1;2;15.3;27;Alagoas;9315;2020
Indicador  9.b.1;2;27.1;27;Alagoas;9315;2021
Indicador  9.b.1;2;9.1;28;Sergipe;9315;2010
Indicador  9.b.1;2;8.4;28;Sergipe;9315;2011
Indicador  9.b.1;2;9.3;28;Sergipe;9315;2012
Indicador  9.b.1;2;5.8;28;Sergipe;9315;2013
Indicador  9.b.1;2;14.6;28;Sergipe;9315;2014
Indicador  9.b.1;2;15.2;28;Sergipe;9315;2015
Indicador  9.b.1;2;11.8;28;Sergipe;9315;2016
Indicador  9.b.1;2;13.5;28;Sergipe;9315;2017
Indicador  9.b.1;2;17.0;28;Sergipe;9315;2018
Indicador  9.b.1;2;17.2;28;Sergipe;9315;2019
Indicador  9.b.1;2;19.8;28;Sergipe;9315;2020
Indicador  9.b.1;2;19.9;28;Sergipe;9315;2021
Indicador  9.b.1;2;29.7;29;Bahia;9315;2010
Indicador  9.b.1;2;35.4;29;Bahia;9315;2011
Indicador  9.b.1;2;41.4;29;Bahia;9315;2012
Indicador  9.b.1;2;33.0;29;Bahia;9315;2013
Indicador  9.b.1;2;38.2;29;Bahia;9315;2014
Indicador  9.b.1;2;27.8;29;Bahia;9315;2015
Indicador  9.b.1;2;28.6;29;Bahia;9315;2016
Indicador  9.b.1;2;23.7;29;Bahia;9315;2017
Indicador  9.b.1;2;26.2;29;Bahia;9315;2018
Indicador  9.b.1;2;20.0;29;Bahia;9315;2019
Indicador  9.b.1;2;19.7;29;Bahia;9315;2020
Indicador  9.b.1;2;31.9;29;Bahia;9315;2021
Indicador  9.b.1;2;29.8;31;Minas Gerais;9315;2010
Indicador  9.b.1;2;28.9;31;Minas Gerais;9315;2011
Indicador  9.b.1;2;28.6;31;Minas Gerais;9315;2012
Indicador  9.b.1;2;27.7;31;Minas Gerais;9315;2013
Indicador  9.b.1;2;24.5;31;Minas Gerais;9315;2014
Indicador  9.b.1;2;24.0;31;Minas Gerais;9315;2015
Indicador  9.b.1;2;22.7;31;Minas Gerais;9315;2016
Indicador  9.b.1;2;22.7;31;Minas Gerais;9315;2017
Indicador  9.b.1;2;22.6;31;Minas Gerais;9315;2018
Indicador  9.b.1;2;22.7;31;Minas Gerais;9315;2019
Indicador  9.b.1;2;20.1;31;Minas Gerais;9315;2020
Indicador  9.b.1;2;18.5;31;Minas Gerais;9315;2021
Indicador  9.b.1;2;7.0;32;Espírito Santo;9315;2010
Indicador  9.b.1;2;9.3;32;Espírito Santo;9315;2011
Indicador  9.b.1;2;14.9;32;Espírito Santo;9315;2012
Indicador  9.b.1;2;10.6;32;Espírito Santo;9315;2013
Indicador  9.b.1;2;12.0;32;Espírito Santo;9315;2014
Indicador  9.b.1;2;8.2;32;Espírito Santo;9315;2015
Indicador  9.b.1;2;10.6;32;Espírito Santo;9315;2016
Indicador  9.b.1;2;11.9;32;Espírito Santo;9315;2017
Indicador  9.b.1;2;11.6;32;Espírito Santo;9315;2018
